name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,fouls,aerialLost,outfielderBlock,hitWoodwork,totalContest,wonContest,keyPass,challengeLost,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,onTargetScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,15.0,13.0,,,0.0,5.0,3.0,,,,,73.0,29.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,3.0,7.0,1.0,1.0,1.0,,,4.0,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Junior Barranquilla,home,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,13.0,11.0,1.0,1.0,0.0,4.0,,,,,,24.0,20.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,2.0,,1.0,,3.0,,,,,2.0,1.0,,1.0,,,,,,,Junior Barranquilla,home,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,True,17.0,14.0,3.0,2.0,0.0,3.0,,,,,,24.0,22.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,,1.0,,,,1.0,,,1.0,,2.0,2.0,2.0,1.0,,,,,,,Junior Barranquilla,home,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,275,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,12.0,11.0,,,0.0,,,,,,,17.0,17.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,Junior Barranquilla,home,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,7.0,4.0,1.0,,0.0,2.0,,,,,,17.0,10.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,Junior Barranquilla,home,
Marco Pérez,marco-perez,M. Pérez,F,18,185.0,224,47244,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653616000.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. بيريز', 'hi': 'एम. पेरेज़', 'bn': 'এম. পেরেজ'}}",,,18,True,5.0,4.0,1.0,1.0,0.0,,,,,,,9.0,6.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,,,,,3.0,,,,,,,,,,,,,Junior Barranquilla,home,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000.0,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",Alejandro Rodríguez,,38,False,31.0,21.0,18.0,8.0,0.0,,2.0,,2.0,3.0,,90.0,39.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,2.0
Fabián Viáfara,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,,,27,False,19.0,16.0,6.0,3.0,0.0,3.0,4.0,1.0,,,,90.0,48.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,,6.0,,1.0,2.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,Deportivo Cali,away,
