name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,aerialWon,interceptionWon,penaltyConceded,wasFouled,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,keyPass,blockedScoringAttempt,totalOffside,captain,team,teamType,fieldTranslations,outfielderBlock,hitWoodwork,bigChanceCreated
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000.0,,,27,True,26.0,18.0,4.0,1.0,0.0,,,,,,45.0,37.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,4.0,,,,3.0,,1.0,,,,,,,,,1.0,,,Unión Magdalena,home,,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,True,18.0,13.0,1.0,1.0,0.0,,,,,,45.0,25.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,Unión Magdalena,home,,,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,5,1831290,{},EUR,,,,14,True,8.0,2.0,2.0,,0.0,,,,,,16.0,11.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,1.0,1.0,,,0.0,,,,,,11.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,Unión Magdalena,home,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Álvaro Montero,,,alvaro-montero,Á. Montero,G,31,588,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200.0,"{'value': 1600000, 'currency': 'EUR'}",195.0,31,False,29.0,17.0,17.0,6.0,0.0,,1.0,4.0,,,90.0,37.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,,1.0,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,
Helibelton Palacios,,,helibelton-palacios,H. Palacios,D,28,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000.0,"{'value': 635000, 'currency': 'EUR'}",181.0,13,False,33.0,25.0,3.0,2.0,0.0,4.0,,,,,90.0,54.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",1.0,,,4.0,2.0,3.0,1.0,,,,1.0,2.0,,1.0,,1.0,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,
Andrés Llinás,,,andres-llinas,A. Llinás,D,26,287,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000.0,"{'value': 1200000, 'currency': 'EUR'}",188.0,26,False,34.0,28.0,4.0,2.0,0.0,3.0,,,,,90.0,44.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,2.0,2.0,2.0,,,,1.0,,,3.0,,1.0,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",2.0,,
Jorge Arias,,,jorge-arias,J. Arias,D,17,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800.0,"{'value': 370000, 'currency': 'EUR'}",184.0,17,False,31.0,23.0,6.0,3.0,0.0,5.0,,,,,90.0,44.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,2.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,,Millonarios,away,,,,
Danovis Banguero,,,danovis-banguero,D. Banguero,D,20,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600.0,"{'value': 320000, 'currency': 'EUR'}",185.0,20,False,29.0,19.0,7.0,2.0,0.0,4.0,,,,,90.0,46.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",3.0,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,,Millonarios,away,,,,
