name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,onTargetScoringAttempt,interceptionWon,totalCross,wonContest,dispossessed,goals,totalOffside,accurateCross,blockedScoringAttempt,captain,team,teamType,goodHighClaim
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,7.0,5.0,1.0,,0.0,,,,45.0,13.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,4.0,,3.0,1.0,,,,,,,2.0,,1.0,,,,1.0,,,,Deportivo Pereira,home,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,True,9.0,7.0,1.0,,0.0,,,,32.0,16.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,,,4.0,1.0,,,,1.0,,,Deportivo Pereira,home,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,2.0,2.0,,,0.0,,,,8.0,3.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,,,Deportivo Pereira,home,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Luis David Gonzalez,luis-david-gonzalez,L. D. Gonzalez,M,31,,4,1214975,{},EUR,,,,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Alejandro Álvarez,alejandro-alvarez,A. Álvarez,F,30,175.0,10,1643442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083542400.0,,,Alejandro Álvarez,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,29.0,17.0,15.0,3.0,0.0,3.0,3.0,4.0,90.0,42.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,,Boyacá Chicó FC,away,1.0
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",,José Ampudia,,17,False,25.0,21.0,1.0,,0.0,2.0,,,90.0,36.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,1.0,,,,,,,1.0,2.0,,,2.0,,1.0,,,1.0,,,Boyacá Chicó FC,away,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,42.0,40.0,5.0,4.0,0.0,,,,90.0,50.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,2.0,2.0,5.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,Boyacá Chicó FC,away,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,,30,False,16.0,14.0,3.0,1.0,0.0,,,,45.0,20.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,Boyacá Chicó FC,away,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,False,23.0,21.0,2.0,2.0,0.0,,,,75.0,32.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,2.0,4.0,1.0,1.0,1.0,,1.0,3.0,,1.0,,,,,,,,,2.0,,Boyacá Chicó FC,away,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,8,False,42.0,34.0,7.0,3.0,0.0,1.0,,,90.0,52.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,2.0,2.0,7.0,,2.0,1.0,,3.0,1.0,1.0,1.0,,,,1.0,,,,,,,Boyacá Chicó FC,away,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,40.0,34.0,7.0,6.0,0.0,,,,90.0,46.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,1.0,,1.0,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,True,Boyacá Chicó FC,away,
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,44.0,39.0,2.0,,0.0,1.0,,,90.0,75.0,7.7,19.0,"{'original': 7.7, 'alternative': None}",5.0,,15.0,7.0,,6.0,1.0,,,4.0,4.0,4.0,1.0,1.0,7.0,3.0,3.0,1.0,,2.0,1.0,,Boyacá Chicó FC,away,
