name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,wasFouled,aerialLost,aerialWon,interceptionWon,totalTackle,penaltyConceded,fouls,outfielderBlock,shotOffTarget,blockedScoringAttempt,keyPass,accurateCross,onTargetScoringAttempt,penaltyWon,challengeLost,goals,bigChanceCreated,bigChanceMissed,totalOffside,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,saves,punches
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,False,9.0,8.0,1.0,0.0,,45.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400,"{'value': 370000, 'currency': 'EUR'}",,,,18,True,6.0,4.0,,0.0,,45.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,6.0,4.0,,0.0,,17.0,10.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,3.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,True,10.0,8.0,1.0,0.0,,16.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Atlético Bucaramanga,home,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,11.0,9.0,2.0,0.0,,13.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,True,4.0,4.0,1.0,0.0,,13.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",77,False,22.0,10.0,19.0,0.0,,90.0,33.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",7.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,Junior Barranquilla,away,1.0,1.0,4.0,1.0
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",Yeferson Moreno,,,15,False,14.0,6.0,6.0,0.0,,90.0,30.0,5.9,15.0,"{'original': 5.9, 'alternative': None}",1.0,,3.0,1.0,1.0,1.0,,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",Daniel Rivera,,,5,False,28.0,12.0,12.0,0.0,,90.0,43.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,6.0,,,,6.0,,,2.0,1.0,4.0,,1.0,,,,,,,,1.0,,,,,,,Junior Barranquilla,away,,,,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",José Cuenú,,,4,False,20.0,15.0,3.0,0.0,,90.0,28.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,3.0,2.0,,,,3.0,,2.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,Junior Barranquilla,away,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,24.0,14.0,12.0,0.0,,90.0,38.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",9.0,,,1.0,,,,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,26.0,20.0,5.0,0.0,,90.0,36.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,,,,3.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,True,Junior Barranquilla,away,,,,
Jhon Velez,jhon-velez,J. Velez,M,13,178.0,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200,"{'value': 415000, 'currency': 'EUR'}",Jhon Velez,,,13,False,23.0,16.0,3.0,0.0,,62.0,32.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,2.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,14.0,9.0,1.0,0.0,,77.0,31.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",1.0,,10.0,4.0,2.0,1.0,,2.0,2.0,5.0,1.0,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,Junior Barranquilla,away,,,,
