name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,fouls,aerialLost,wasFouled,challengeLost,totalContest,keyPass,accurateCross,wonContest,dispossessed,totalOffside,goals,hitWoodwork,captain,team,teamType,fieldTranslations,goodHighClaim,penaltyConceded
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,True,1.0,,,,0.0,,,,31.0,8.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,5.0,1.0,1.0,,,,,1.0,,3.0,,,1.0,,,,1.0,,,1.0,,Deportivo Pasto,home,,,
Ray Vanegas,ray-vanegas,R. Vanegas,F,11,176.0,27,355864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731894400.0,"{'value': 48000, 'currency': 'EUR'}",,,11,True,5.0,4.0,,,0.0,,,,21.0,11.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,4.0,2.0,,,,,,,,3.0,,,3.0,1.0,,2.0,,,,,,Deportivo Pasto,home,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400.0,"{'value': 285000, 'currency': 'EUR'}",,,10,True,1.0,,,,0.0,,,,14.0,7.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,2.0,2.0,1.0,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,Deportivo Pasto,home,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Brayan Sánchez,brayan-sanchez,B. Sánchez,M,16,,7,1174916,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052611200.0,"{'value': 95000, 'currency': 'EUR'}",Brayan Sánchez,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400.0,,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Fabian Villa,fabian-villa,F. Villa,F,38,,5,1808388,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,,Fabian Villa,,38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800.0,"{'value': 825000, 'currency': 'EUR'}",,,1,False,21.0,14.0,10.0,4.0,0.0,,,2.0,90.0,24.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",1.0,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,26,False,29.0,20.0,6.0,1.0,0.0,1.0,,,67.0,38.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",2.0,,4.0,3.0,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,
