name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,interceptionWon,totalOffside,keyPass,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wasFouled,fouls,shotOffTarget,onTargetScoringAttempt,dispossessed,totalContest,blockedScoringAttempt,accurateCross,wonContest,goals,bigChanceCreated,captain,team,teamType,challengeLost,errorLeadToAGoal,outfielderBlock,hitWoodwork,clearanceOffLine
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,True,2.0,2.0,,,0.0,,,,10.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,1.0,1.0,,,0.0,,,,10.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,América de Cali,home,,,,,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 565000, 'currency': 'EUR'}",,,,31,True,,,,,0.0,,,,9.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,3.0,1.0,,,0.0,,,,8.0,6.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,América de Cali,home,,,,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,True,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",,,,12,False,24.0,14.0,16.0,6.0,0.0,,5.0,8.0,90.0,37.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,1.0,1.0,,,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,26.0,20.0,4.0,1.0,0.0,1.0,,,90.0,38.0,6.1,12.0,"{'original': 6.1, 'alternative': None}",1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,Alianza Valledupar FC,away,,,,,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,25.0,21.0,8.0,6.0,0.0,3.0,,,90.0,32.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away,,,2.0,,
