name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,shotOffTarget,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,fouls,dispossessed,accurateCross,bigChanceMissed,penaltyWon,goals,outfielderBlock,captain,team,teamType,savedShotsFromInsideTheBox,punches,penaltyConceded,totalOffside
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400.0,"{'value': 1400000, 'currency': 'EUR'}",,,,19,False,19.0,14.0,,,0.0,1.0,,,,,90.0,31.0,8.5,6.0,"{'original': 8.5, 'alternative': None}",,1.0,3.0,4.0,1.0,3.0,2.0,,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,1.0,,2.0,,,Atlético Nacional,home,,,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3106,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,18,True,18.0,12.0,4.0,1.0,0.0,1.0,,,,,45.0,32.0,7.0,13.0,"{'original': 7, 'alternative': None}",3.0,,4.0,2.0,,3.0,1.0,,,,,3.0,,1.0,,1.0,2.0,,1.0,,,,,,Atlético Nacional,home,,,,
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400.0,"{'value': 1500000, 'currency': 'EUR'}",,,,80,True,20.0,19.0,3.0,3.0,0.0,,,,,,30.0,23.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,3.0,1.0,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,Atlético Nacional,home,,,,
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2280,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,10,True,15.0,15.0,3.0,3.0,1.0,2.0,,,,,20.0,22.0,7.6,2.0,"{'original': 7.6, 'alternative': None}",2.0,,,2.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,Atlético Nacional,home,,,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600.0,"{'value': 330000, 'currency': 'EUR'}",Kilian Toscano,,,5,True,6.0,5.0,,,0.0,,,,,,20.0,12.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,1.0,5.0,1.0,1.0,1.0,,,,1.0,,,,,3.0,,,,,,,1.0,,Atlético Nacional,home,,,,
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,250,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800.0,"{'value': 580000, 'currency': 'EUR'}",Andrés Salazar,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",,17,True,3.0,3.0,,,0.0,,,,,,16.0,4.0,6.3,,"{'original': 6.3, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,
Edimer Zea,edimer-zea,E. Zea,G,34,190.0,19,2046458,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Edimer Zea,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,
Juan Arias,arias-juan,J. Arias,D,23,184.0,72,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,1,False,20.0,12.0,13.0,5.0,0.0,,,6.0,,,90.0,33.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,1.0,,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,Deportivo Pereira,away,2.0,1.0,,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,39.0,32.0,3.0,1.0,0.0,,,,,,90.0,65.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,4.0,5.0,1.0,,,,3.0,4.0,,,,,1.0,4.0,3.0,,,,,,,,Deportivo Pereira,away,,,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,24.0,18.0,4.0,2.0,0.0,1.0,,,,,90.0,35.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,1.0,3.0,2.0,2.0,1.0,1.0,,4.0,,,,1.0,,,,,,,,,,2.0,,Deportivo Pereira,away,,,,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",Santiago Aguilar,,,15,False,10.0,9.0,3.0,2.0,0.0,,,,,,37.0,18.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,1.0,2.0,1.0,,,,,4.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,Deportivo Pereira,away,,,1.0,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,28.0,24.0,4.0,1.0,0.0,,,,,,90.0,45.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,2.0,,,,1.0,,2.0,,2.0,,,,2.0,1.0,1.0,,,,,,,Deportivo Pereira,away,,,,1.0
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,42.0,36.0,6.0,2.0,0.0,,,,,,90.0,56.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,6.0,7.0,2.0,1.0,,,1.0,1.0,3.0,,,,1.0,4.0,2.0,1.0,,,,,1.0,,Deportivo Pereira,away,,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,49.0,38.0,6.0,3.0,0.0,,,,,,90.0,55.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,3.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,2.0,,,,,,,,Deportivo Pereira,away,,,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",Yuber Quiñones,,,13,False,20.0,15.0,1.0,,0.0,,,,,,90.0,40.0,6.6,17.0,"{'original': 6.6, 'alternative': None}",9.0,,6.0,4.0,1.0,2.0,,,,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,Deportivo Pereira,away,,,,1.0
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,709,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,28.0,14.0,4.0,3.0,0.0,1.0,,,,,80.0,46.0,6.9,20.0,"{'original': 6.9, 'alternative': None}",,1.0,3.0,3.0,,2.0,1.0,,,1.0,,,1.0,2.0,,1.0,,1.0,,,,,,True,Deportivo Pereira,away,,,,1.0
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",Eduar Arízalas,,,22,False,14.0,10.0,,,0.0,,,,,,66.0,29.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",4.0,,4.0,5.0,1.0,3.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,Deportivo Pereira,away,,,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,177,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,99,False,12.0,10.0,,,0.0,3.0,,,,,66.0,19.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,3.0,1.0,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,Deportivo Pereira,away,,,,
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",Jhostin Medranda,,,24,True,17.0,16.0,3.0,3.0,0.0,,,,,,53.0,25.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,1.0,3.0,2.0,,,,,6.0,,1.0,,1.0,,,,2.0,,,,,,,,Deportivo Pereira,away,,,,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",Jhon Largacha,,,11,True,8.0,6.0,,,0.0,,,,,,24.0,17.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,,2.0,2.0,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,Deportivo Pereira,away,,,,
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,97,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,True,4.0,1.0,,,0.0,,,,,,24.0,5.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,1.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,Deportivo Pereira,away,,,,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,True,16.0,14.0,3.0,1.0,0.0,,,,,,10.0,17.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,Franklin Mosquera,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",Eber Moreno,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,Nicolas Rengifo,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
