name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,possessionLostCtrl,keyPass,aerialWon,onTargetScoringAttempt,goals,totalContest,wonContest,blockedScoringAttempt,dispossessed,outfielderBlock,shotOffTarget,accurateCross,bigChanceMissed,hitWoodwork,captain,team,teamType,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine,bigChanceCreated
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,16.0,13.0,,,0.0,,,,90.0,25.0,6.7,"{'original': 6.7, 'alternative': None}",1.0,1.0,5.0,3.0,,,,2.0,,1.0,1.0,7.0,,1.0,,,,,,3.0,,2.0,,,,,Atlético Bucaramanga,home,,,,,
Juan Mosquera,juan-camilo-mosquera,J. Mosquera,D,14,187.0,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 215000, 'currency': 'EUR'}",,Juan Camilo Mosquera,,14,True,9.0,9.0,,,0.0,,,,45.0,19.0,7.5,"{'original': 7.5, 'alternative': None}",2.0,,,3.0,,,2.0,,,,,2.0,2.0,1.0,2.0,,2.0,2.0,,,,,1.0,,,,Atlético Bucaramanga,home,,,,,
José García,jose-daniel-garcia,J. García,D,4,188.0,27,1175766,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800,,,José Daniel García,,4,True,19.0,17.0,3.0,3.0,0.0,,,,45.0,31.0,7.0,"{'original': 7, 'alternative': None}",,1.0,3.0,4.0,,,1.0,,1.0,1.0,,5.0,1.0,2.0,,,2.0,1.0,,,,1.0,,,,,Atlético Bucaramanga,home,,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,True,23.0,17.0,5.0,3.0,1.0,,,,23.0,27.0,7.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,,,1.0,,,1.0,,7.0,1.0,,,,,,1.0,,,,1.0,,,,Atlético Bucaramanga,home,,,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,14.0,10.0,,,0.0,,,,23.0,19.0,6.6,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,,,,,,,,8.0,,,,,1.0,,,1.0,,,,,,,Atlético Bucaramanga,home,,,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,4.0,2.0,,,0.0,,,,11.0,9.0,6.5,"{'original': 6.5, 'alternative': None}",1.0,,1.0,1.0,1.0,1.0,,,,,,3.0,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,Atlético Bucaramanga,home,,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,
Andrés Andrade,andres-andrade,A. Andrade,M,17,177.0,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200,"{'value': 145000, 'currency': 'EUR'}",,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,,12,False,25.0,16.0,13.0,7.0,0.0,,1.0,1.0,90.0,38.0,6.1,"{'original': 6.1, 'alternative': None}",,,1.0,,1.0,2.0,,,,,,9.0,,,,,,,,,,,,,,,Deportivo Pasto,away,1.0,1.0,1.0,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,,2,False,29.0,27.0,4.0,3.0,0.0,,,,90.0,44.0,7.1,"{'original': 7.1, 'alternative': None}",,,1.0,3.0,,3.0,,2.0,,1.0,,7.0,,1.0,,,,,,,1.0,,,,,,Deportivo Pasto,away,,,,1.0,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,Andrés Alarcón,,24,False,37.0,28.0,6.0,4.0,0.0,,,,90.0,45.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,1.0,2.0,,1.0,1.0,,,10.0,,1.0,,,,,,,,2.0,,,,,Deportivo Pasto,away,,,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,Joyce Ossa,,23,False,26.0,24.0,2.0,,0.0,,,,90.0,37.0,6.5,"{'original': 6.5, 'alternative': None}",,2.0,2.0,3.0,,1.0,1.0,,1.0,,,5.0,,2.0,,,,,,,,1.0,,,,,Deportivo Pasto,away,,,,,
