name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,bigChanceCreated,totalClearance,totalTackle,keyPass,fouls,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,goals,challengeLost,shotOffTarget,outfielderBlock,totalOffside,dispossessed,totalContest,wasFouled,penaltyConceded,wonContest,interceptionWon,bigChanceMissed,captain,team,teamType,fieldTranslations,penaltyWon
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,True,16.0,12.0,3.0,1.0,0.0,,,52.0,25.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,1.0,3.0,2.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,Deportivo Pasto,home,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,True,9.0,8.0,,,0.0,,,23.0,18.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",2.0,,,2.0,4.0,,,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,Deportivo Pasto,home,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,True,6.0,4.0,,,0.0,,,9.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,Deportivo Pasto,home,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,27,True,,,,,0.0,,,9.0,3.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,1.0,4.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,Deportivo Pasto,home,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}",,,77,False,17.0,13.0,4.0,,0.0,1.0,1.0,90.0,25.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",Jhomier Guerrero,,34,False,44.0,38.0,5.0,2.0,1.0,,,90.0,71.0,6.5,18.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,,5.0,4.0,,1.0,3.0,2.0,1.0,,,,,,1.0,,,1.0,3.0,1.0,,,,,,Junior Barranquilla,away,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,66,False,42.0,31.0,11.0,3.0,0.0,,,90.0,57.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,2.0,3.0,,7.0,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,2.0,,,Junior Barranquilla,away,,1.0
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",Daniel Rivera,,5,False,46.0,35.0,10.0,4.0,0.0,,,90.0,63.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,,,,4.0,,4.0,3.0,,,,,,,,,1.0,,,,1.0,,,,,,Junior Barranquilla,away,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,3,False,45.0,39.0,6.0,3.0,0.0,,,90.0,60.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,2.0,5.0,,2.0,1.0,1.0,,2.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,Junior Barranquilla,away,,
