name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,totalTackle,fouls,interceptionWon,wasFouled,aerialLost,onTargetScoringAttempt,goals,outfielderBlock,accurateCross,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalOffside,dispossessed,keyPass,challengeLost,captain,team,teamType,fieldTranslations,goodHighClaim
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,True,12.0,8.0,1.0,,0.0,,,1.0,,,,28.0,16.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,2.0,,,,,,,,,,,,,,,1.0,,1.0,,Deportivo Pasto,home,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,True,10.0,8.0,2.0,1.0,0.0,1.0,3.0,1.0,,,,21.0,22.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,3.0,1.0,1.0,,1.0,,,,,,2.0,,2.0,1.0,,,,,,Deportivo Pasto,home,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,True,6.0,4.0,,,0.0,,2.0,,,,,21.0,12.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,1.0,,1.0,,1.0,,,,,,1.0,1.0,3.0,,,,1.0,,,Deportivo Pasto,home,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,27,True,5.0,2.0,,,0.0,2.0,4.0,,,,,21.0,7.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,1.0,,,,,,1.0,1.0,,,,,,,,Deportivo Pasto,home,,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,,7,True,1.0,1.0,,,0.0,,,,,,,8.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",2.0,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}",Alejandro Rodríguez,,38,False,19.0,15.0,5.0,1.0,0.0,,,,,1.0,,90.0,27.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",1.0
Fabián Viáfara,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,,27,False,53.0,46.0,8.0,5.0,0.0,,1.0,3.0,,,,67.0,72.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,Deportivo Cali,away,,
Juan Quintero,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,,3,False,56.0,54.0,2.0,,0.0,1.0,2.0,9.0,,,,90.0,70.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,,,1.0,,,,2.0,,,,,,,,,,True,Deportivo Cali,away,,
José Caldera,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",José Caldera,,12,False,40.0,35.0,7.0,2.0,0.0,1.0,3.0,1.0,,,,90.0,52.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",1.0,5.0,2.0,2.0,,,2.0,,,,,1.0,,1.0,,,,,,,Deportivo Cali,away,,
Yulián Gómez,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,,26,False,26.0,24.0,,,0.0,,,2.0,,,,90.0,36.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,Deportivo Cali,away,,
Victor Mejia,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000,"{'value': 390000, 'currency': 'EUR'}",,,6,False,83.0,73.0,7.0,4.0,0.0,,1.0,1.0,,,,90.0,88.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,3.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,2.0,,Deportivo Cali,away,,
Rafael Bustamante,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,,5,False,59.0,57.0,4.0,2.0,0.0,,5.0,,,,,45.0,68.0,7.0,3.0,"{'original': 7, 'alternative': None}",1.0,2.0,,1.0,1.0,5.0,1.0,,,1.0,,,,,,,,,,,Deportivo Cali,away,,
Cristian Graciano,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,,44,False,31.0,31.0,2.0,2.0,0.0,,1.0,,,,,45.0,36.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,Deportivo Cali,away,,
Javier Reina,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,,10,False,80.0,72.0,4.0,1.0,0.0,1.0,2.0,1.0,,,,77.0,87.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",3.0,4.0,1.0,,,,2.0,,,,1.0,,,,,,1.0,1.0,1.0,,Deportivo Cali,away,,
Andrey Estupiñán,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,,11,False,33.0,30.0,1.0,1.0,0.0,,3.0,,,,,59.0,43.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,6.0,,1.0,,3.0,3.0,,,,,1.0,,,,,1.0,1.0,,,Deportivo Cali,away,,
Emiliano Rodriguez,rodriguez-emiliano,E. Rodriguez,F,9,190.0,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600,"{'value': 1300000, 'currency': 'EUR'}",,,9,False,9.0,7.0,2.0,1.0,0.0,,3.0,,,,,90.0,25.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,6.0,1.0,1.0,,,1.0,2.0,,,,5.0,2.0,1.0,1.0,,1.0,,,,Deportivo Cali,away,,
Jean Colorado,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,,23,True,30.0,26.0,5.0,4.0,0.0,,3.0,2.0,,,,45.0,38.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,6.0,2.0,3.0,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,Deportivo Cali,away,,
Jhon Cabal,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800,,,,46,True,5.0,4.0,,,0.0,,,,,,,45.0,6.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
Juan Arango,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000,,Juan Arango,,17,True,11.0,10.0,,,0.0,,1.0,,,,,31.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,Deportivo Cali,away,,
Guzmán Corujo,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000,"{'value': 390000, 'currency': 'EUR'}",,,16,True,9.0,6.0,4.0,2.0,0.0,,,,,,,23.0,10.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,2.0,,1.0,,,1.0,,,,,,,,,,,,,,Deportivo Cali,away,,
Juan Angulo,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,,13,True,17.0,11.0,1.0,,0.0,,1.0,,,,,13.0,23.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,Deportivo Cali,away,,
Gastón Guruceaga,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
Jarlan Barrera,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
