name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,outfielderBlock,fouls,keyPass,challengeLost,shotOffTarget,totalTackle,dispossessed,interceptionWon,totalContest,onTargetScoringAttempt,blockedScoringAttempt,wonContest,totalOffside,goals,captain,team,teamType,fieldTranslations,punches,accurateCross
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,13.0,11.0,,,0.0,2.0,,1.0,,,45.0,24.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,Fortaleza CEIF,home,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,True,11.0,10.0,1.0,1.0,0.0,2.0,,,,,26.0,16.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,,,1.0,,1.0,,,,2.0,,,,,,,1.0,,,Fortaleza CEIF,home,,,
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,True,2.0,2.0,,,0.0,,,,,,26.0,5.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,,,,1.0,,,1.0,,,,,,,,,Fortaleza CEIF,home,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,10.0,9.0,1.0,,0.0,2.0,,,,,12.0,12.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,1.0,,,1.0,,,1.0,,,,Fortaleza CEIF,home,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,206,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,True,7.0,6.0,,,1.0,2.0,,,,,12.0,11.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,4.0,,2.0,1.0,,,,,,2.0,1.0,,1.0,,,,Fortaleza CEIF,home,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Kevin Salazar,,,kevin-salazar,K. Salazar,M,11,170.0,30,852208,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823824000.0,"{'value': 160000, 'currency': 'EUR'}",26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}",38,False,28.0,14.0,18.0,4.0,0.0,,2.0,,2.0,2.0,90.0,33.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",1.0,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",44,False,35.0,25.0,12.0,4.0,0.0,1.0,1.0,,,,90.0,47.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,Deportivo Cali,away,,,1.0
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",3,False,30.0,27.0,2.0,1.0,0.0,,3.0,,,,90.0,35.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,2.0,,2.0,,,,,,,,2.0,,,,,,,,Deportivo Cali,away,,,
Francisco Meza,,,francisco-meza,F. Meza,D,21,187.0,65,162493,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,683424000.0,"{'value': 260000, 'currency': 'EUR'}",21,False,18.0,13.0,7.0,3.0,0.0,3.0,3.0,1.0,,,45.0,25.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,2.0,,,,,,1.0,,1.0,,,,,,,True,Deportivo Cali,away,,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",26,False,16.0,11.0,2.0,1.0,0.0,2.0,,,,,59.0,22.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,,,,2.0,,,,,,,,,,Deportivo Cali,away,,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",6,False,28.0,22.0,5.0,4.0,0.0,5.0,,2.0,,,90.0,34.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,3.0,,2.0,,,,3.0,1.0,,,,,,,,,Deportivo Cali,away,,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",7,False,28.0,19.0,7.0,4.0,0.0,4.0,,2.0,,,90.0,48.0,7.0,17.0,"{'original': 7, 'alternative': None}",3.0,,,7.0,,3.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,,1.0,,,,Deportivo Cali,away,,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",23,False,21.0,16.0,2.0,1.0,0.0,2.0,,,,,90.0,36.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,,4.0,,2.0,,2.0,,1.0,,,1.0,,1.0,1.0,,,,Deportivo Cali,away,,,
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,42,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",28,False,34.0,28.0,6.0,4.0,0.0,5.0,,,,,89.0,42.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,,,,1.0,,,1.0,,,2.0,1.0,,2.0,,,,Deportivo Cali,away,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,125,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",11,False,20.0,14.0,1.0,1.0,0.0,7.0,,5.0,,,82.0,34.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,1.0,4.0,,2.0,2.0,,1.0,,,,2.0,,,1.0,,,,Deportivo Cali,away,,,1.0
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,365,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",9,False,9.0,6.0,2.0,1.0,0.0,1.0,1.0,,,,83.0,20.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,,,4.0,,,1.0,,1.0,1.0,1.0,,3.0,,,,,,,Deportivo Cali,away,,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,117,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",16,True,9.0,7.0,1.0,,0.0,4.0,4.0,1.0,,,45.0,18.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,Deportivo Cali,away,,,
Juan Camilo Cantillo,Juan Camilo Cantillo,,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",18,True,,,,,0.0,,,,,,31.0,5.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,3.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,Deportivo Cali,away,,,1.0
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",8,True,1.0,,,,0.0,,,,,,8.0,3.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,,,1.0,,,,,,,1.0,,,,,,,,,Deportivo Cali,away,,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",10,True,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 420000, 'currency': 'EUR'}",5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
