name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,outfielderBlock,totalTackle,fouls,keyPass,interceptionWon,penaltyConceded,aerialLost,aerialWon,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain,team,teamType,errorLeadToAGoal,penaltyWon
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,24.0,22.0,1.0,1.0,0.0,2.0,2.0,,,,,90.0,39.0,7.6,6.0,"{'original': 7.6, 'alternative': None}",1.0,,3.0,,,,,,2.0,,,2.0,2.0,,1.0,3.0,,,1.0,1.0,2.0,,True,Independiente Santa Fe,home,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,True,14.0,13.0,1.0,,0.0,,,,,,,17.0,17.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,14.0,13.0,,,0.0,1.0,,,,,,17.0,22.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,1.0,,Independiente Santa Fe,home,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,11.0,10.0,,,0.0,1.0,,,,,,14.0,13.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,,,,,,,,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,home,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,9.0,7.0,3.0,1.0,0.0,,,,,,,14.0,9.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,14.0,11.0,2.0,1.0,0.0,,,,,,,14.0,15.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,2.0,,,,,2.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,False,17.0,11.0,9.0,3.0,0.0,,3.0,,,3.0,6.0,90.0,30.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,1.0,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,23.0,17.0,2.0,,0.0,2.0,,,,,,90.0,38.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",4.0,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,Millonarios,away,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,27.0,22.0,5.0,2.0,0.0,5.0,2.0,,,,,90.0,35.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,2.0,1.0,,1.0,1.0,1.0,,,,,4.0,,,1.0,,,,,1.0,,True,Millonarios,away,,
