name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,totalTackle,wasFouled,fouls,outfielderBlock,interceptionWon,keyPass,aerialLost,aerialWon,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,accurateCross,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,bigChanceCreated,bigChanceMissed
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,False,7.0,4.0,,,0.0,,,76.0,16.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,5.0,5.0,1.0,,,,2.0,3.0,3.0,,,,2.0,,,,1.0,,1.0,,,Millonarios,home,,,,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,7.0,6.0,,,0.0,,,30.0,9.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,1.0,,,,,,,,,,,,,,,Millonarios,home,,,,,,
Juan Pablo Vargas,juan-pablo-vargas,J. P. Vargas,D,4,192.0,653,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",,,4,True,1.0,,1.0,,0.0,,,14.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,Millonarios,home,,,,,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,,7,True,4.0,3.0,,,0.0,,,14.0,9.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,Millonarios,home,,,,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,,
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000,"{'value': 550000, 'currency': 'EUR'}",,,,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12659,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,,,,
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,19.0,13.0,8.0,2.0,0.0,1.0,3.0,90.0,30.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,1.0,1.0,1.0,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,,,26,False,67.0,60.0,1.0,1.0,0.0,,,90.0,87.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",4.0,,2.0,,,,1.0,,2.0,,,1.0,2.0,,,,,1.0,,,1.0,,Deportes Tolima,away,,,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,,,17,False,21.0,18.0,4.0,2.0,0.0,,,45.0,27.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,Deportes Tolima,away,,,,,,
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,52.0,46.0,5.0,,0.0,,,90.0,60.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,3.0,1.0,,,,2.0,,1.0,3.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,Deportes Tolima,away,,,,1.0,,
Junior Hernández,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,,20,False,59.0,49.0,5.0,4.0,0.0,,,90.0,77.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",3.0,2.0,1.0,1.0,,,1.0,1.0,,,,,2.0,1.0,,,1.0,1.0,,,1.0,,Deportes Tolima,away,,,,1.0,1.0,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,70.0,65.0,5.0,2.0,0.0,,,90.0,85.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",6.0,2.0,2.0,,,,1.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,,2.0,,,2.0,,Deportes Tolima,away,,,,,,
Ever Valencia,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,,,8,False,36.0,29.0,4.0,2.0,0.0,,,86.0,62.0,6.4,22.0,"{'original': 6.4, 'alternative': None}",2.0,11.0,5.0,,8.0,,,3.0,2.0,,,,2.0,1.0,,2.0,1.0,,,,1.0,,Deportes Tolima,away,,,,,1.0,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,72.0,66.0,3.0,2.0,0.0,,,90.0,81.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,3.0,2.0,1.0,1.0,,,,2.0,,,,3.0,,,1.0,2.0,1.0,,,,True,Deportes Tolima,away,,,,,,
Alex Castro,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,61.0,47.0,5.0,2.0,0.0,,,90.0,81.0,7.1,26.0,"{'original': 7.1, 'alternative': None}",3.0,8.0,5.0,1.0,6.0,2.0,1.0,2.0,,2.0,,1.0,5.0,,1.0,1.0,,,,,,,Deportes Tolima,away,,,,1.0,,
Adrián Parra,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,,,24,False,9.0,7.0,,,0.0,,,73.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,Deportes Tolima,away,,,,,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,21.0,18.0,2.0,1.0,0.0,,,90.0,37.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,5.0,,2.0,,2.0,,4.0,,,,,,1.0,,2.0,2.0,,1.0,,,Deportes Tolima,away,,,,1.0,,1.0
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,,,3,True,20.0,19.0,1.0,1.0,0.0,,,45.0,24.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,,2.0,,,,,,,1.0,2.0,,1.0,,,,,,Deportes Tolima,away,,,,,,
Gustavo Ramírez,gustavo-ramirez,G. Ramírez,F,27,181.0,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,,,27,True,2.0,2.0,,,0.0,,,17.0,5.0,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,3.0,,,,,,Deportes Tolima,away,,,,,,1.0
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,,,28,True,7.0,6.0,,,0.0,,,10.0,9.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,Deportes Tolima,away,,,,,,
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,
Fabián Mosquera,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,,,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,
