name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,onTargetScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,challengeLost,interceptionWon,dispossessed,blockedScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,,6,True,22.0,21.0,3.0,3.0,0.0,1.0,3.0,2.0,,,45.0,35.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",2.0,,1.0,3.0,,,,2.0,,1.0,,,,1.0,2.0,,,1.0,,,Unión Magdalena,home,,,
Franklin Navarro,,,franklin-navarro,F. Navarro,F,29,49,1387079,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925344000.0,"{'value': 105000, 'currency': 'EUR'}",172.0,29,True,29.0,21.0,,,0.0,1.0,2.0,,,,45.0,39.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,3.0,1.0,,,1.0,,1.0,2.0,,,,,,1.0,,,,Unión Magdalena,home,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,True,26.0,21.0,5.0,4.0,0.0,2.0,3.0,1.0,,,24.0,32.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,Unión Magdalena,home,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,3.0,3.0,,,0.0,,,,,,13.0,6.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,5,1831290,{},EUR,,,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Santiago Mele,,,santiago-mele,S. Mele,G,25,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}",182.0,77,False,,,,,0.0,,,,,1.0,5.0,1.0,3.0,,"{'original': 3, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,
Jhomier Guerrero,Jhomier Guerrero,,jhomier-guerrero,J. Guerrero,D,34,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",170.0,34,False,19.0,14.0,4.0,1.0,0.0,2.0,10.0,3.0,,,90.0,53.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,1.0,6.0,3.0,,,4.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,Junior Barranquilla,away,,,
José Cuenú,José Cuenú,,jose-cuenu,J. Cuenú,D,4,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",192.0,4,False,15.0,9.0,5.0,2.0,0.0,3.0,3.0,7.0,,,90.0,26.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,2.0,4.0,,,,,,2.0,1.0,,,,2.0,,,,,,Junior Barranquilla,away,,,
