name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,keyPass,challengeLost,shotOffTarget,wasFouled,fouls,hitWoodwork,onTargetScoringAttempt,accurateCross,outfielderBlock,dispossessed,captain,team,teamType,goodHighClaim,goals,totalOffside,blockedScoringAttempt
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400.0,"{'value': 370000, 'currency': 'EUR'}",,,,18,True,7.0,4.0,,,0.0,,,34.0,14.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,2.0,3.0,,,,,1.0,,,1.0,,1.0,,,,,1.0,,Atlético Bucaramanga,home,,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,7.0,6.0,1.0,1.0,0.0,,,26.0,12.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",1.0,2.0,1.0,5.0,2.0,1.0,,,,,,,,1.0,2.0,,,1.0,,,,Atlético Bucaramanga,home,,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,7.0,5.0,2.0,1.0,0.0,,,13.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400.0,"{'value': 54000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",1,False,40.0,16.0,31.0,7.0,0.0,5.0,6.0,90.0,56.0,8.0,24.0,"{'original': 8, 'alternative': None}",,,,,,,,2.0,,,,,,,,,,,,,,Deportivo Pereira,away,2.0,,,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,29.0,24.0,5.0,3.0,0.0,,,90.0,44.0,7.0,9.0,"{'original': 7, 'alternative': None}",,1.0,1.0,5.0,4.0,,,2.0,2.0,1.0,,,,2.0,4.0,,,,,,,Deportivo Pereira,away,,,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,29.0,24.0,5.0,2.0,0.0,,,90.0,41.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,3.0,3.0,5.0,5.0,,,7.0,1.0,2.0,,,,,2.0,,1.0,,,,,Deportivo Pereira,away,,,,
