name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,fouls,keyPass,aerialLost,challengeLost,wasFouled,shotOffTarget,onTargetScoringAttempt,totalOffside,captain,team,teamType,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated,hitWoodwork
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,,Juan Ávalo,,24,True,8.0,7.0,1.0,,0.0,1.0,,,,25.0,14.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",3.0,,,3.0,2.0,,,,,,,,,,1.0,1.0,,,,,Rionegro Águilas Doradas,home,,,,,,
Anderson Plata,anderson-plata,A. Plata,M,7,172.0,70,590374,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,658022400,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بلاتا', 'hi': 'ए. प्लाटा', 'bn': 'এ. প্লাটা'}}",,,7,True,3.0,2.0,,,0.0,,,,,24.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,6.0,4.0,,,0.0,2.0,1.0,,,9.0,8.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,,,Rionegro Águilas Doradas,home,,,,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,24.0,18.0,10.0,5.0,0.0,,,1.0,2.0,90.0,35.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,2.0,,,,,,,,,,,,América de Cali,away,1.0,1.0,1.0,,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,58.0,50.0,10.0,3.0,0.0,1.0,,,,90.0,79.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,,1.0,,2.0,1.0,1.0,6.0,,1.0,,2.0,,,,,,,,América de Cali,away,,,,,,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182.0,142,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,,,2,False,39.0,38.0,3.0,2.0,0.0,1.0,,,,90.0,46.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,,2.0,,,,,4.0,1.0,,2.0,,,,1.0,,,,,América de Cali,away,,,,,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,39.0,36.0,4.0,2.0,0.0,4.0,2.0,,,90.0,50.0,8.1,3.0,"{'original': 8.1, 'alternative': None}",,,1.0,5.0,,,,1.0,2.0,1.0,2.0,4.0,,1.0,,1.0,1.0,1.0,,,América de Cali,away,,,,1.0,,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,30.0,25.0,4.0,1.0,0.0,6.0,4.0,,,90.0,55.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,1.0,5.0,,1.0,,,3.0,,,1.0,,1.0,2.0,1.0,2.0,,,,América de Cali,away,,,,,,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,264,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,39.0,33.0,1.0,1.0,0.0,3.0,2.0,,,89.0,50.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,,4.0,,2.0,,,1.0,,,,3.0,2.0,,1.0,1.0,,,,América de Cali,away,,,,,,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173.0,255,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,68.0,62.0,11.0,7.0,0.0,2.0,1.0,,,90.0,82.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,2.0,,3.0,2.0,,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,América de Cali,away,,,,,,
Éder Balanta,eder-balanta,É. Balanta,M,3,181.0,491,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",,,3,False,11.0,11.0,1.0,1.0,0.0,1.0,,,,30.0,14.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,América de Cali,away,,,,,,
Joel Romero,joel-romero,J. Romero,M,33,174.0,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000,,,Joel Romero,,33,False,14.0,13.0,,,0.0,2.0,,,,45.0,18.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,América de Cali,away,,,,,,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168.0,9715,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,,8,False,61.0,48.0,6.0,3.0,1.0,2.0,,,,90.0,78.0,7.8,21.0,"{'original': 7.8, 'alternative': None}",7.0,2.0,,3.0,1.0,3.0,2.0,2.0,,,,1.0,3.0,,,,1.0,1.0,,True,América de Cali,away,,,,,1.0,
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1195,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,18.0,11.0,,,0.0,2.0,,,,77.0,31.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,,4.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,América de Cali,away,,,,,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,True,33.0,32.0,1.0,1.0,0.0,3.0,1.0,,,60.0,42.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,,4.0,,,,,,,,2.0,,1.0,1.0,2.0,1.0,,,,América de Cali,away,,,,,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,329,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,True,11.0,11.0,1.0,1.0,0.0,2.0,,,,45.0,19.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,4.0,1.0,,,1.0,,,,2.0,,,1.0,2.0,1.0,,,,América de Cali,away,,,,,,1.0
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1221,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,4.0,3.0,,,0.0,,,,,13.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187.0,53,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600,,,Kevin Angulo,,35,True,2.0,,1.0,,0.0,,,,,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,108,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
