name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,aerialLost,interceptionWon,dispossessed,totalContest,shotOffTarget,wonContest,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,clearanceOffLine
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,,,,,8,True,22.0,18.0,5.0,3.0,1.0,3.0,1.0,,,,45.0,27.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,,1.0,,2.0,,,,,,,3.0,,1.0,,,,,Once Caldas,home,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800.0,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,9.0,7.0,,,0.0,1.0,1.0,,,,45.0,17.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Once Caldas,home,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000.0,"{'value': 405000, 'currency': 'EUR'}",Mateo,Zuleta,,28,True,10.0,6.0,,,1.0,2.0,,,,,28.0,18.0,8.1,6.0,"{'original': 8.1, 'alternative': None}",1.0,1.0,2.0,1.0,,,1.0,,,,,,,3.0,,1.0,,2.0,1.0,,Once Caldas,home,,
Juan García,juan-garcia,J. García,M,2,185.0,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400.0,"{'value': 155000, 'currency': 'EUR'}",,,,2,True,12.0,10.0,,,0.0,1.0,,,,,14.0,14.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,Once Caldas,home,,
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800.0,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,7.0,6.0,,,0.0,,,,,,11.0,8.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200.0,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800.0,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,False,32.0,21.0,20.0,9.0,0.0,,,1.0,1.0,2.0,90.0,42.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,,,,,,,Deportivo La Equidad,away,1.0,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Amaya,,,20,False,34.0,26.0,7.0,5.0,0.0,5.0,,4.0,,,90.0,52.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,1.0,,,3.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,Deportivo La Equidad,away,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,Daniel Polanco,,,2,False,30.0,26.0,5.0,4.0,0.0,1.0,,4.0,,,90.0,39.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,Deportivo La Equidad,away,,1.0
