name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,shotOffTarget,wasFouled,fouls,aerialLost,blockedScoringAttempt,outfielderBlock,totalTackle,keyPass,dispossessed,totalContest,onTargetScoringAttempt,goals,interceptionWon,challengeLost,wonContest,totalOffside,captain,team,teamType,goodHighClaim,penaltyConceded
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,27.0,21.0,2.0,1.0,0.0,,,,66.0,42.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,4.0,6.0,1.0,4.0,,1.0,,,,,2.0,2.0,,,1.0,,1.0,,,Boyacá Chicó FC,home,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,77,True,5.0,4.0,,,0.0,,,,29.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,1.0,,Boyacá Chicó FC,home,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,,20,True,8.0,6.0,1.0,,0.0,1.0,,,8.0,12.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,,29,True,1.0,1.0,,,0.0,,,,8.0,3.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,Boyacá Chicó FC,home,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,Jhonier Negrete,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,15.0,4.0,12.0,1.0,0.0,,1.0,2.0,90.0,24.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,,,Envigado FC,away,1.0,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,Geindry Cuervo,,,15,False,21.0,8.0,6.0,,0.0,2.0,,,90.0,51.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",2.0,,1.0,5.0,8.0,1.0,,1.0,2.0,,1.0,7.0,,,1.0,,,5.0,1.0,,,,Envigado FC,away,,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,False,20.0,12.0,4.0,,0.0,5.0,,,90.0,28.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,2.0,,,,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,Envigado FC,away,,
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",Didier Palacios,,,2,False,18.0,9.0,8.0,1.0,0.0,8.0,,,90.0,31.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,Envigado FC,away,,
Emanuel Londoño,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Emanuel Londoño,,,33,False,18.0,11.0,3.0,,0.0,3.0,,,90.0,41.0,6.3,15.0,"{'original': 6.3, 'alternative': None}",2.0,,,5.0,2.0,,,2.0,1.0,,,1.0,,,2.0,,,1.0,1.0,1.0,,,Envigado FC,away,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",Julián Palacio,,,6,False,32.0,27.0,6.0,4.0,0.0,,,,90.0,41.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,1.0,5.0,3.0,,,5.0,,,1.0,2.0,,1.0,,1.0,,,,,,,Envigado FC,away,,1.0
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,28.0,25.0,5.0,4.0,0.0,,,,87.0,34.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,3.0,2.0,1.0,,2.0,,,,2.0,1.0,,,1.0,,,1.0,,,True,Envigado FC,away,,
Carlos Torres,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",Carlos Torres,,,80,False,12.0,10.0,,,0.0,1.0,,,69.0,28.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,,,6.0,3.0,1.0,3.0,3.0,,2.0,,,1.0,1.0,2.0,,,,,,,,Envigado FC,away,,
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,Daniel Arcila,,,26,False,18.0,14.0,2.0,1.0,0.0,1.0,,,90.0,29.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,1.0,4.0,,3.0,1.0,,,,,1.0,,,,,,,,1.0,,Envigado FC,away,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,Luis Díaz,,,34,False,13.0,10.0,,,0.0,1.0,,,90.0,20.0,7.0,3.0,"{'original': 7, 'alternative': None}",1.0,1.0,1.0,1.0,5.0,1.0,4.0,,1.0,,,,2.0,,,,,,,,,,Envigado FC,away,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,7.0,7.0,,,0.0,,,,70.0,13.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,3.0,3.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,Envigado FC,away,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",Didier Dawson,,,7,True,2.0,2.0,,,0.0,1.0,,,21.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,Envigado FC,away,,
Santiago Londono,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,Santiago Londoño,,,19,True,2.0,2.0,,,0.0,,,,20.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,Envigado FC,away,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",Johan Hinestroza,,,14,True,3.0,2.0,,,0.0,,,,15.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,Envigado FC,away,,
Andrés Tovar,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",Andrés Tovar,,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Nilzo Ramírez,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,Jhon Araujo,,,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
