name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalContest,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,aerialWon,accurateCross,wonContest,clearanceOffLine,dispossessed,onTargetScoringAttempt,goals,keyPass,bigChanceMissed,shotOffTarget,hitWoodwork,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,totalOffside
John Araujo,Jhon Araujo,,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,70,True,6.0,5.0,,,0.0,,2.0,,,,24.0,9.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,,,,,,,,,1.0,2.0,,,,,1.0,,,,,Envigado FC,home,,,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,2.0,2.0,,,0.0,2.0,1.0,,,,20.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,Envigado FC,home,,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,True,5.0,5.0,1.0,1.0,0.0,,,,,,19.0,5.0,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,2.0,2.0,,,0.0,1.0,,,,,8.0,7.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",2.0,,,,,,,,,1.0,,,,,,,,,,,,,Envigado FC,home,,,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,2.0,2.0,,,0.0,2.0,3.0,,,,8.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",2.0,,3.0,,,,,,2.0,,,,1.0,,,,,,,,,,Envigado FC,home,,,,
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
James Aguirre,,,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",12,False,26.0,17.0,11.0,2.0,0.0,,,,2.0,2.0,90.0,34.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800.0,"{'value': 370000, 'currency': 'EUR'}",24,False,31.0,21.0,7.0,4.0,0.0,5.0,2.0,,,,90.0,54.0,7.0,16.0,"{'original': 7, 'alternative': None}",2.0,2.0,5.0,,3.0,,2.0,,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,,Once Caldas,away,,,,
Jorge Cardona,,,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000.0,"{'value': 515000, 'currency': 'EUR'}",34,False,39.0,30.0,8.0,3.0,0.0,1.0,,,,,90.0,51.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,6.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,Once Caldas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,,
