name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,fouls,totalOffside,shotOffTarget,outfielderBlock,totalContest,wonContest,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,wasFouled,accurateCross,hitWoodwork,onTargetScoringAttempt,goals,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,9.0,8.0,1.0,1.0,0.0,,,78.0,21.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",,,2.0,3.0,6.0,1.0,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,4.0,,,1.0,1.0,,América de Cali,home,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,True,4.0,3.0,,,0.0,,,24.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,3.0,2.0,,,,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,América de Cali,home,,
Franco Leys,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,,,32,True,12.0,12.0,,,0.0,,,21.0,13.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,América de Cali,home,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,,,21,True,8.0,8.0,1.0,1.0,0.0,,,12.0,10.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,América de Cali,home,,
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,,,22,True,4.0,3.0,,,0.0,,,12.0,5.0,7.5,1.0,"{'original': 7.5, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,América de Cali,home,,
Alexis Sinisterra,alexis-sinisterra,A. Sinisterra,G,47,181.0,13,2009109,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1107993600.0,,,Alexis Sinisterra,,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,18.0,12.0,8.0,2.0,0.0,1.0,,90.0,24.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,Deportivo Pereira,away,1.0,1.0
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,37.0,27.0,2.0,,0.0,,,90.0,50.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",4.0,2.0,1.0,6.0,4.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,,2.0,1.0,,,,,Deportivo Pereira,away,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,30.0,22.0,3.0,1.0,0.0,,,90.0,40.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,1.0,,2.0,3.0,,4.0,1.0,2.0,1.0,,1.0,1.0,,,2.0,,,,1.0,,,,,,Deportivo Pereira,away,,
