name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,shotOffTarget,outfielderBlock,interceptionWon,wasFouled,totalContest,totalTackle,fouls,aerialWon,keyPass,accurateCross,dispossessed,wonContest,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,captain,team,teamType,goodHighClaim,goals
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,10,True,10.0,5.0,3.0,,0.0,1.0,,,45.0,22.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",2.0,,,3.0,,,,,3.0,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,28,True,4.0,1.0,1.0,,0.0,1.0,,,28.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,29,True,1.0,1.0,,,0.0,4.0,,,9.0,5.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,,,1.0,,,,,,,,,Boyacá Chicó FC,home,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600.0,"{'value': 135000, 'currency': 'EUR'}",Ronald Valencia,,77,True,6.0,5.0,1.0,,0.0,1.0,,,9.0,8.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,,,1.0,,,1.0,,,,1.0,,,,,Boyacá Chicó FC,home,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Carlos Cabarcas,carlos-cabarcas,C. Cabarcas,,7,,3,2123091,{},EUR,,,Carlos Cabarcas,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jordan García,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",Jordan García,,12,False,31.0,15.0,23.0,8.0,0.0,1.0,1.0,1.0,90.0,37.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,Fortaleza CEIF,away,3.0,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",Cristián Mosquera,,27,False,20.0,15.0,3.0,1.0,0.0,,,,90.0,39.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",7.0,1.0,2.0,2.0,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,Fortaleza CEIF,away,,
Sebastian Ramirez,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,,,21,False,17.0,13.0,3.0,1.0,0.0,1.0,,,90.0,25.0,7.9,4.0,"{'original': 7.9, 'alternative': None}",,,3.0,4.0,1.0,,3.0,1.0,1.0,,1.0,2.0,2.0,,,,,,,1.0,,Fortaleza CEIF,away,,1.0
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",Harold Balanta,,18,False,19.0,14.0,5.0,1.0,0.0,3.0,,,90.0,29.0,7.0,5.0,"{'original': 7, 'alternative': None}",,4.0,7.0,6.0,,1.0,,1.0,2.0,,1.0,3.0,3.0,,,,,,,,,Fortaleza CEIF,away,,
Diego Ruiz,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",,,30,False,37.0,28.0,8.0,2.0,1.0,3.0,,,90.0,71.0,7.4,24.0,"{'original': 7.4, 'alternative': None}",13.0,2.0,6.0,,1.0,2.0,,3.0,,,,3.0,,3.0,4.0,,,,,,,Fortaleza CEIF,away,,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,22,False,24.0,20.0,,,0.0,,,,90.0,38.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,Fortaleza CEIF,away,,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,14,False,32.0,26.0,2.0,2.0,0.0,2.0,,,90.0,36.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,1.0,,,,Fortaleza CEIF,away,,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",Ronaldo Pájaro,,13,False,35.0,31.0,1.0,1.0,0.0,1.0,,,81.0,42.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,4.0,2.0,,,,1.0,1.0,,,3.0,1.0,1.0,,1.0,,2.0,,1.0,True,Fortaleza CEIF,away,,
Jhon Martínez,jhon-martinez,J. Martínez,F,7,186.0,29,1628440,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1129766400.0,,Jhon Martínez,,7,False,23.0,17.0,1.0,,0.0,,,,60.0,34.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",,1.0,9.0,5.0,,,,,,1.0,,4.0,5.0,,,3.0,,1.0,,1.0,,Fortaleza CEIF,away,,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",Emilio Aristizábal,,19,False,14.0,13.0,1.0,1.0,0.0,1.0,,,69.0,23.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,2.0,5.0,2.0,,1.0,,,,4.0,,,,2.0,,1.0,2.0,,,1.0,,Fortaleza CEIF,away,,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,10,False,42.0,34.0,7.0,5.0,1.0,,,,90.0,65.0,7.9,18.0,"{'original': 7.9, 'alternative': None}",4.0,3.0,7.0,5.0,,1.0,,4.0,,2.0,3.0,1.0,2.0,5.0,1.0,1.0,,,1.0,,,Fortaleza CEIF,away,,
Kelvin Florez,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",Kelvin Florez,,16,True,5.0,5.0,1.0,1.0,0.0,,,,30.0,11.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",1.0,,,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,Fortaleza CEIF,away,,
Santiago Córdoba,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",,,9,True,2.0,2.0,,,0.0,,,,21.0,4.0,7.5,,"{'original': 7.5, 'alternative': None}",,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,Fortaleza CEIF,away,,1.0
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,25,True,2.0,1.0,1.0,,0.0,,,,9.0,3.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",Juan Castillo,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Manuel Lasso,manuel-lasso,M. Lasso,D,2,188.0,4,2038232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1131062400.0,,Manuel Lasso,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Enmanuel Arrechea,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,Enmanuel Arrechea,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Sebastián Prieto,sebastian-prieto,S. Prieto,,31,,3,2126518,{},EUR,,,Sebastián Prieto,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
