name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,interceptionWon,totalTackle,fouls,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,shotOffTarget,blockedScoringAttempt,accurateCross,keyPass,challengeLost,totalOffside,penaltyConceded,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Cristian Sención,,,cristian-sencion,C. Sención,M,16,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",179.0,16,True,33.0,27.0,7.0,5.0,0.0,2.0,1.0,1.0,,,,,45.0,40.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,1.0,,1.0,,,,Unión Magdalena,home,,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,3,2040668,{},EUR,1073952000,,,9,True,3.0,1.0,,,0.0,,,,,,,,23.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,,,,,,1.0,,,,,,,Unión Magdalena,home,,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",180.0,17,True,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,23.0,6.0,6.0,2.0,"{'original': 6, 'alternative': None}",,,,3.0,,,3.0,,,,,,,,,,,1.0,,Unión Magdalena,home,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200,"{'value': 290000, 'currency': 'EUR'}",185.0,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",179.0,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Rogerio Caicedo,,,rogerio-caicedo,R. Caicedo,G,1,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",187.0,1,False,22.0,9.0,20.0,7.0,0.0,,,,5.0,,2.0,2.0,90.0,34.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,2.0,3.0,3.0,
Andres Aedo,Andres Aedo,,aedo-andres,A. Aedo,M,6,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",183.0,6,False,18.0,14.0,1.0,,0.0,6.0,,,8.0,2.0,,,86.0,40.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,8.0,,1.0,3.0,1.0,1.0,,,,,,1.0,3.0,,,,Boyacá Chicó FC,away,,,,
Kevin Riascos,,,kevin-riascos,K. Riascos,D,2,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",188.0,3,False,23.0,16.0,10.0,3.0,0.0,2.0,,,3.0,,,,90.0,28.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,2.0,,,,1.0,,,,,,,2.0,,,,,Boyacá Chicó FC,away,,,,
