name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialWon,wasFouled,shotOffTarget,onTargetScoringAttempt,outfielderBlock,wonContest,blockedScoringAttempt,dispossessed,challengeLost,bigChanceCreated,totalOffside,goals,captain,team,teamType,bigChanceMissed,hitWoodwork
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,True,22.0,18.0,1.0,1.0,0.0,,,,,,79.0,36.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",2.0,,,3.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,,2.0,,,,,1.0,,,,,Once Caldas,home,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,,Zuleta,28,True,5.0,2.0,2.0,,0.0,,,,,,18.0,13.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",,,1.0,6.0,5.0,3.0,,,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,,Once Caldas,home,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,3.0,,2.0,,0.0,,,,,,12.0,9.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,2.0,,4.0,,1.0,,,1.0,,,,,,,,,,,,,Once Caldas,home,,
Juan Diaz,juan-diaz,J. Diaz,M,6,180,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,3.0,2.0,,,0.0,,,,,,12.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Once Caldas,home,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,True,3.0,2.0,,,0.0,,,,,,11.0,5.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,Once Caldas,home,,
Felipe Parra,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194,153,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,23.0,14.0,11.0,4.0,0.0,,3.0,6.0,,,90.0,38.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,,,,,,2.0,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Santiago Jiménez,santiago-jimenez,S. Jiménez,D,6,180,36,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",,,,6,False,52.0,43.0,9.0,4.0,0.0,,,,,,90.0,79.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,1.0,7.0,1.0,,2.0,4.0,1.0,2.0,4.0,,,1.0,,,,,2.0,2.0,,,,,Atlético Bucaramanga,away,,
Alejandro Moralez,alejandro-moralez,A. Moralez,D,21,190,36,988773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400,"{'value': 210000, 'currency': 'EUR'}",,,,21,False,54.0,41.0,9.0,1.0,0.0,,,,,,90.0,65.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,,1.0,5.0,3.0,1.0,4.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,Atlético Bucaramanga,away,,
