name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,totalClearance,fouls,wasFouled,keyPass,outfielderBlock,wonContest,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,penaltyMiss,penaltyWon,captain,team,teamType,goodHighClaim,penaltySave,penaltyConceded,bigChanceCreated
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,False,11.0,7.0,,,0.0,,,90.0,27.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,1.0,,2.0,3.0,,1.0,,1.0,1.0,,2.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,Deportes Tolima,home,,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,23,True,6.0,2.0,1.0,,0.0,,,31.0,14.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,,,,3.0,,,1.0,1.0,,,,,,2.0,1.0,,1.0,,,,,,1.0,,Deportes Tolima,home,,,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,True,4.0,2.0,,,0.0,,,31.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,Deportes Tolima,home,,,,
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,True,6.0,4.0,3.0,2.0,0.0,,,22.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,25,True,10.0,7.0,3.0,3.0,0.0,,,12.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,Deportes Tolima,home,,,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Wuilker Faríñez,,,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",1,False,22.0,13.0,14.0,5.0,0.0,1.0,1.0,90.0,26.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,1.0,1.0,,
Dylan Lozano,Dylan Lozano,,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",,26,False,16.0,14.0,2.0,1.0,0.0,,,89.0,42.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",2.0,,,,2.0,3.0,,,1.0,,,1.0,2.0,5.0,1.0,1.0,,,,,1.0,1.0,,,,,Rionegro Águilas Doradas,away,,,,
