name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,totalOffside,keyPass,duelLost,goals,outfielderBlock,interceptionWon,fouls,aerialLost,dispossessed,shotOffTarget,challengeLost,totalContest,wonContest,accurateCross,hitWoodwork,bigChanceCreated,captain,team,teamType
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,19.0,15.0,3.0,1.0,0.0,,1.0,,,,,,,,53.0,28.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",4.0,,1.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,Once Caldas,home
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,Zuleta,,28,True,16.0,13.0,3.0,2.0,1.0,1.0,3.0,,1.0,,,,,,30.0,27.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",2.0,2.0,,,,1.0,2.0,,,,,,1.0,,,2.0,1.0,1.0,,1.0,,Once Caldas,home
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,13.0,11.0,,,0.0,,1.0,,1.0,,,,,,30.0,19.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",5.0,,,,,3.0,1.0,,,,1.0,,,,,,,4.0,,,,Once Caldas,home
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,,,,,0.0,,,,,,,,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,Once Caldas,home
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Mateo Rodas,mateo-rodas,M. Rodas,D,4,186.0,14,869998,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884476800,"{'value': 235000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",1,False,28.0,13.0,17.0,3.0,0.0,,,2.0,,1.0,4.0,7.0,1.0,1.0,90.0,43.0,7.7,16.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,25.0,20.0,3.0,1.0,0.0,,3.0,3.0,2.0,,,,,,90.0,46.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",4.0,,,1.0,,1.0,2.0,,2.0,,2.0,,,,,,,1.0,,,,Independiente Santa Fe,away
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,28.0,23.0,2.0,1.0,0.0,1.0,1.0,10.0,,,,,,,90.0,46.0,7.8,6.0,"{'original': 7.8, 'alternative': None}",,1.0,1.0,,,,2.0,1.0,2.0,,,1.0,,,,1.0,,,,,,Independiente Santa Fe,away
