name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,fouls,blockedScoringAttempt,keyPass,onTargetScoringAttempt,accurateCross,bigChanceCreated,shotOffTarget,bigChanceMissed,goals,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,20.0,13.0,14.0,7.0,0.0,,,,,,90.0,31.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,3.0,5.0
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",Neymar Uribe,,,27,False,18.0,12.0,6.0,3.0,0.0,,,2.0,,,90.0,27.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,4.0,1.0,,,,,,,2.0,,2.0,,2.0,,,,,,,Envigado FC,away,,
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",Didier Palacios,,,2,False,32.0,25.0,5.0,1.0,0.0,6.0,9.0,7.0,,,90.0,48.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,1.0,3.0,,1.0,,,,,2.0,,,,,Envigado FC,away,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,33.0,26.0,11.0,4.0,0.0,1.0,2.0,6.0,,,90.0,43.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,2.0,,,,,,2.0,1.0,,,1.0,,1.0,,,,,,True,Envigado FC,away,,
Juan Holguin,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,,,,3,False,20.0,12.0,6.0,2.0,0.0,2.0,5.0,4.0,3.0,,90.0,41.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,1.0,3.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,Envigado FC,away,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,Luis Díaz,,,34,False,12.0,9.0,,,0.0,2.0,3.0,,,,90.0,18.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,2.0,4.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,Envigado FC,away,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",Julián Palacio,,,6,False,27.0,21.0,2.0,2.0,0.0,,1.0,,,,88.0,35.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,4.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,Envigado FC,away,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",Johan Hinestroza,,,14,False,11.0,8.0,1.0,,0.0,,2.0,,,,45.0,14.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,Envigado FC,away,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",Didier Dawson,,,7,False,15.0,9.0,2.0,,0.0,2.0,12.0,,2.0,,71.0,40.0,7.7,12.0,"{'original': 7.7, 'alternative': None}",2.0,,1.0,,,5.0,4.0,,4.0,4.0,,1.0,2.0,,,,,,,,,Envigado FC,away,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,12.0,8.0,2.0,,0.0,,3.0,,1.0,,80.0,21.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,6.0,1.0,,2.0,1.0,,,1.0,5.0,,1.0,,,,,,,,,Envigado FC,away,,
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,Daniel Arcila,,,26,False,21.0,16.0,3.0,2.0,0.0,2.0,6.0,,2.0,,90.0,44.0,7.0,17.0,"{'original': 7, 'alternative': None}",7.0,2.0,4.0,,2.0,1.0,1.0,,,1.0,,1.0,2.0,,2.0,,1.0,,,,,Envigado FC,away,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,True,21.0,19.0,1.0,1.0,0.0,2.0,2.0,1.0,,,45.0,23.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Carlos Torres,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",Carlos Torres,,,80,True,2.0,1.0,1.0,1.0,0.0,,3.0,,2.0,,19.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,2.0,,,2.0,,,,1.0,,,,,,,1.0,,,,,Envigado FC,away,,
Miguel Marulanda,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Marulanda,,,38,True,3.0,1.0,1.0,,0.0,,1.0,,,,10.0,5.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,Envigado FC,away,,
Nilzo Ramírez,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,,,,16,True,2.0,2.0,,,0.0,,1.0,,1.0,,8.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Andrés Tovar,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",Andrés Tovar,,,88,True,,,,,0.0,,,,,,19.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,Geindry Cuervo,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
