name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,totalClearance,fouls,totalOffside,keyPass,aerialWon,duelWon,outfielderBlock,totalTackle,interceptionWon,accurateCross,totalContest,shotOffTarget,wasFouled,challengeLost,wonContest,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,goals,captain,team,teamType,fieldTranslations,errorLeadToAShot,hitWoodwork
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,True,14.0,11.0,4.0,4.0,0.0,,,,,73.0,21.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,2.0,,,,Llaneros FC,home,,,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,19.0,13.0,4.0,2.0,0.0,,,,,22.0,21.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,Llaneros FC,home,,,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,True,3.0,2.0,,,0.0,,,,,22.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,Llaneros FC,home,,,
Jaison Mina,Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000.0,"{'value': 145000, 'currency': 'EUR'}",,23,True,,,,,0.0,,,,,12.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,
Maicol Medina,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,3.0,2.0,2.0,1.0,0.0,,,,,11.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,Llaneros FC,home,,,
Roameth Romaña,Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,
Roberto Hinojosa,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,
Salvador Ichazo,,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}",,1,False,22.0,15.0,8.0,2.0,0.0,1.0,3.0,,,90.0,27.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,
Walmer Pacheco,,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,21,False,20.0,17.0,5.0,4.0,0.0,,,,,65.0,44.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,3.0,,1.0,,,1.0,,3.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,Deportivo Pereira,away,,1.0,
José Moya,,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,3,False,36.0,31.0,5.0,1.0,0.0,,,,,90.0,51.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,2.0,5.0,,9.0,2.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,Deportivo Pereira,away,,,
