name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialLost,aerialWon,blockedScoringAttempt,outfielderBlock,accurateCross,totalContest,shotOffTarget,penaltyConceded,keyPass,wasFouled,dispossessed,wonContest,onTargetScoringAttempt,challengeLost,captain,team,teamType,goodHighClaim,punches,penaltyWon,totalOffside,bigChanceMissed,penaltyMiss
Andres Aedo,aedo-andres,A. Aedo,M,6,183,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,11.0,10.0,,,0.0,,,,,,45.0,16.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Vladimir Hernández,vladimir-hernandez,V. Hernández,M,16,160,108,47093,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,602899200,"{'value': 52000, 'currency': 'EUR'}",,,,16,True,18.0,15.0,2.0,2.0,0.0,,,,,,45.0,26.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",2.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,2.0,,,,,,,Boyacá Chicó FC,home,,,,,,
Hassan Vergara,hassan-vergara,H. Vergara,F,99,185,11,988798,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923097600,"{'value': 110000, 'currency': 'EUR'}",,,,99,True,7.0,6.0,,,0.0,,,,,,31.0,11.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,,,Boyacá Chicó FC,home,,,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,,18,True,6.0,5.0,1.0,1.0,0.0,,,,,,23.0,7.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,,,,,,,,,,1.0,,,,,,Boyacá Chicó FC,home,,,,,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",,,,21,True,,,,,0.0,,,,,,11.0,5.0,6.9,,"{'original': 6.9, 'alternative': None}",,,3.0,,1.0,,,,,,,,,,,2.0,,,,,,Boyacá Chicó FC,home,,,,,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,,Sebastián Colón,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
James Aguirre,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,23.0,15.0,13.0,5.0,0.0,3.0,2.0,4.0,1.0,1.0,90.0,38.0,7.7,9.0,"{'original': 7.7, 'alternative': None}",,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,Once Caldas,away,1.0,1.0,,,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,False,27.0,20.0,6.0,3.0,0.0,5.0,,,,,90.0,46.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,2.0,,,,,2.0,,,1.0,,1.0,,,,1.0,,,,,Once Caldas,away,,,,,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,13.0,9.0,6.0,3.0,0.0,,,,,,52.0,16.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",,2.0,3.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,Once Caldas,away,,,,,,
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,,,18,False,22.0,19.0,4.0,1.0,0.0,9.0,,,,,90.0,33.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,1.0,2.0,,,,1.0,2.0,,1.0,,,,,,,,,,,True,Once Caldas,away,,,,,,
Juan Patiño,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,23.0,14.0,10.0,1.0,0.0,,,,,,90.0,38.0,6.5,16.0,"{'original': 6.5, 'alternative': None}",7.0,3.0,1.0,,,2.0,,1.0,,,2.0,,,,,,,,,1.0,,Once Caldas,away,,,,,,
Juan Diaz,juan-diaz,J. Diaz,M,6,180,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,False,39.0,31.0,5.0,3.0,0.0,4.0,,,,,90.0,53.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",,3.0,4.0,4.0,2.0,2.0,1.0,1.0,,2.0,,,,,2.0,1.0,,,,,,Once Caldas,away,,,,,,
Juan García,juan-garcia,J. García,M,2,185,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400,"{'value': 155000, 'currency': 'EUR'}",,,,2,False,26.0,25.0,5.0,5.0,0.0,,,,,,72.0,38.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,8.0,6.0,2.0,5.0,4.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,2.0,,Once Caldas,away,,,,,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",,Jefry Zapata,,14,False,14.0,12.0,,,0.0,,,,,,58.0,26.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",5.0,2.0,2.0,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,,1.0,,,Once Caldas,away,,,1.0,1.0,,
Alejandro García,alejandro-garcia,A. García,M,20,185,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,14.0,12.0,2.0,1.0,0.0,,,,,,59.0,30.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",7.0,1.0,1.0,,,,,,2.0,,3.0,2.0,1.0,,3.0,,,1.0,,,,Once Caldas,away,,,,,,
Joel Contreras,contreras-joel,J. Contreras,F,16,165,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,False,15.0,13.0,,,0.0,,,,,,71.0,25.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,1.0,1.0,,,,,2.0,,,1.0,,,3.0,1.0,1.0,,,,,Once Caldas,away,,,,,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,9,False,8.0,7.0,1.0,1.0,0.0,,,,,,58.0,22.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,,,,3.0,,1.0,1.0,,,1.0,,,Once Caldas,away,,,,1.0,1.0,1.0
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,,34,True,7.0,6.0,1.0,1.0,0.0,,,,,,25.0,7.0,6.1,1.0,"{'original': 6.1, 'alternative': None}",,1.0,,,,1.0,,,,,,,,,,,,,,,,Once Caldas,away,,,,,,
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,,,17,True,4.0,3.0,,,0.0,,,,,,32.0,7.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,2.0,,,,,,,,,,,,,1.0,,2.0,,,,,Once Caldas,away,,,,,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,5.0,4.0,,,0.0,,,,,,31.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,Once Caldas,away,,,,,,
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200,"{'value': 205000, 'currency': 'EUR'}",,,,31,True,9.0,6.0,,,0.0,,,,,,19.0,11.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,Once Caldas,away,,,,,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,Mateo,Zuleta,28,True,7.0,5.0,,,0.0,,,,,,18.0,10.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,Once Caldas,away,,,,,,
Felipe Parra,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,,
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,,
