name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,outfielderBlock,aerialLost,keyPass,aerialWon,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,accurateCross,challengeLost,penaltyWon,blockedScoringAttempt,bigChanceCreated,captain,team,teamType,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,8.0,6.0,,,0.0,,,64.0,14.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,True,Junior Barranquilla,home,,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,4.0,3.0,1.0,1.0,0.0,,,26.0,9.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,4.0,,2.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,Junior Barranquilla,home,,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,14.0,11.0,1.0,1.0,1.0,,,25.0,22.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,2.0,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,Junior Barranquilla,home,,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,7.0,7.0,1.0,1.0,0.0,,,15.0,7.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,12.0,12.0,,,0.0,,,15.0,16.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,,,,,,2.0,,,,1.0,,1.0,,,,,1.0,,,,,,Junior Barranquilla,home,,,,,
Jesús Díaz,jesus-diaz,J. Díaz,M,90,173.0,128,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800.0,"{'value': 110000, 'currency': 'EUR'}",,Jesús Díaz,,90,True,1.0,1.0,,,0.0,,,11.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000.0,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,,
Jordan García,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",,Jordan García,,12,False,25.0,13.0,16.0,4.0,0.0,,1.0,90.0,38.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,away,2.0,1.0,1.0,1.0,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",,Cristián Mosquera,,27,False,38.0,25.0,2.0,1.0,0.0,,,87.0,54.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,1.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,Fortaleza CEIF,away,,,,,
