name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,shotOffTarget,outfielderBlock,totalTackle,wasFouled,fouls,aerialLost,aerialWon,interceptionWon,accurateCross,dispossessed,onTargetScoringAttempt,keyPass,totalContest,wonContest,blockedScoringAttempt,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType,goodHighClaim,totalOffside
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,19.0,14.0,1.0,,0.0,1.0,,,90.0,31.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,9.0,4.0,,2.0,,,1.0,2.0,5.0,3.0,,,,1.0,1.0,2.0,,,,,,,Deportivo Pereira,home,,
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,True,5.0,3.0,1.0,1.0,0.0,,,,20.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,Deportivo Pereira,home,,
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,1.0,1.0,,,0.0,3.0,,,12.0,5.0,6.7,,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,Deportivo Pereira,home,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,True,4.0,3.0,1.0,,0.0,1.0,,,12.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,Deportivo Pereira,home,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,3.0,2.0,,,0.0,,,,12.0,6.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,4.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,Deportivo Pereira,home,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,31.0,18.0,16.0,3.0,0.0,1.0,1.0,4.0,90.0,42.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,1.0,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,29.0,25.0,2.0,2.0,0.0,2.0,,,90.0,56.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",4.0,2.0,11.0,,,,4.0,2.0,1.0,,2.0,,,1.0,,,3.0,3.0,,,,,,Junior Barranquilla,away,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,48.0,38.0,10.0,3.0,0.0,1.0,,,90.0,52.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,,1.0,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,16.0,13.0,5.0,2.0,0.0,4.0,,,45.0,20.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,2.0,,,,,,,,2.0,,,,,,,,,,,,,,Junior Barranquilla,away,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,51.0,41.0,10.0,6.0,0.0,2.0,,,90.0,69.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",,5.0,7.0,2.0,,2.0,2.0,,1.0,1.0,5.0,1.0,,,1.0,1.0,1.0,,,,,,,Junior Barranquilla,away,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,36.0,33.0,4.0,3.0,0.0,2.0,,,90.0,60.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,5.0,2.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,Junior Barranquilla,away,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600.0,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,False,17.0,14.0,3.0,1.0,0.0,,,,59.0,29.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",3.0,4.0,3.0,,1.0,,1.0,2.0,,1.0,,,,,1.0,1.0,3.0,,,,,,,Junior Barranquilla,away,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,34.0,29.0,,,0.0,1.0,,,77.0,46.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,1.0,7.0,1.0,,2.0,3.0,1.0,,,3.0,2.0,,,,,,,,,,,,Junior Barranquilla,away,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,61.0,55.0,2.0,1.0,0.0,1.0,,,90.0,72.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,4.0,5.0,,,,2.0,1.0,,2.0,2.0,1.0,,1.0,,,1.0,,,,,,True,Junior Barranquilla,away,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,39.0,33.0,4.0,4.0,0.0,,,,67.0,53.0,7.0,11.0,"{'original': 7, 'alternative': None}",2.0,4.0,4.0,2.0,2.0,,1.0,3.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,Junior Barranquilla,away,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,19.0,11.0,1.0,1.0,0.0,1.0,,,59.0,31.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,6.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,,,2.0,,1.0,1.0,,1.0,,,,,Junior Barranquilla,away,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,28.0,19.0,1.0,,0.0,,,,45.0,35.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,3.0,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,Junior Barranquilla,away,,1.0
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,True,20.0,17.0,,,0.0,,,,31.0,26.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,Junior Barranquilla,away,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,5.0,5.0,1.0,1.0,0.0,1.0,,,31.0,12.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,,,,,,1.0,,1.0,,,,2.0,1.0,1.0,,,,,,,Junior Barranquilla,away,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,24.0,20.0,3.0,2.0,0.0,,,,23.0,30.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",3.0,2.0,1.0,,,,,1.0,,2.0,,,2.0,,,2.0,,,,,,,,Junior Barranquilla,away,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,True,6.0,6.0,1.0,1.0,0.0,,,,13.0,7.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200.0,"{'value': 190000, 'currency': 'EUR'}",,Yeferson Moreno,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
