name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,penaltyConceded,fouls,clearanceOffLine,totalCross,wonContest,wasFouled,dispossessed,keyPass,onTargetScoringAttempt,shotOffTarget,blockedScoringAttempt,accurateCross,goals,captain,team,teamType,penaltyWon,totalOffside
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,,28,True,32.0,28.0,2.0,1.0,0.0,,,51.0,41.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,1.0,4.0,,3.0,,,,,,,1.0,2.0,2.0,,,,1.0,,,,,Boyacá Chicó FC,home,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600,"{'value': 135000, 'currency': 'EUR'}",Ronald Valencia,,,16,True,13.0,10.0,2.0,1.0,0.0,,,45.0,22.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,1.0,2.0,,3.0,,,,,,,2.0,2.0,,,,,,1.0,,,,Boyacá Chicó FC,home,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,Sebastián Colón,,,29,True,3.0,2.0,1.0,,0.0,,,13.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,Boyacá Chicó FC,home,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,,18,True,3.0,2.0,1.0,1.0,0.0,,,17.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",,,,21,True,1.0,1.0,,,0.0,,,17.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000,,Arlen Banguero,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,,12,False,20.0,8.0,17.0,5.0,0.0,2.0,3.0,90.0,29.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,,26,False,20.0,14.0,1.0,,0.0,,,90.0,45.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,5.0,4.0,,,1.0,,3.0,,2.0,,4.0,,,1.0,2.0,,,,1.0,,,Rionegro Águilas Doradas,away,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,22.0,16.0,10.0,6.0,0.0,,,90.0,30.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,2.0,,2.0,2.0,,,3.0,,2.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
