name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,interceptionWon,fouls,duelWon,challengeLost,shotOffTarget,totalTackle,totalCross,accurateCross,aerialWon,totalContest,wasFouled,keyPass,onTargetScoringAttempt,goals,dispossessed,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,bigChanceMissed,hitWoodwork
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,24.0,16.0,3.0,2.0,1.0,1.0,3.0,2.0,,,,90.0,37.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,1.0,1.0,3.0,1.0,2.0,,2.0,,2.0,1.0,,3.0,,,,1.0,3.0,1.0,1.0,True,Atlético Nacional,home,,,
Kilian Toscano,Kilian Toscano,,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600.0,"{'value': 330000, 'currency': 'EUR'}",,5,True,8.0,6.0,,,0.0,,1.0,2.0,,,,35.0,14.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,Atlético Nacional,home,,,
Juan Torres,Juan Torres,,juan-torres,J. Torres,M,31,170.0,133,1185984,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1087862400.0,"{'value': 210000, 'currency': 'EUR'}",,31,True,4.0,4.0,1.0,1.0,0.0,,1.0,,,,,34.0,9.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,3.0,1.0,,,1.0,2.0,,,1.0,,,,,,Atlético Nacional,home,,,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",,30,True,5.0,5.0,,,0.0,1.0,2.0,,,,,21.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,Atlético Nacional,home,,,
Juan Rosa,Juan Rosa,,juan-rosa,J. Rosa,F,,,22,2036743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1183507200.0,,,35,True,4.0,4.0,,,0.0,1.0,2.0,,,,,21.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,Atlético Nacional,home,,,
Cristian Uribe,Cristian Uribe,,cristian-uribe,C. Uribe,D,,173.0,43,2036740,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1191715200.0,,,36,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Kevin Armesto,Kevin Armesto,,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,34.0,30.0,18.0,14.0,0.0,,,1.0,,3.0,,90.0,45.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,1.0,,
Anderson Mojica,,,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600.0,"{'value': 24000, 'currency': 'EUR'}",,4,False,15.0,15.0,1.0,1.0,0.0,,3.0,4.0,,,,45.0,29.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,Llaneros FC,away,,,
Jan Ángulo,Jan Ángulo,,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,2,False,34.0,32.0,6.0,4.0,0.0,1.0,3.0,2.0,,,,90.0,47.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,Llaneros FC,away,,,
Cristian Valencia,,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,False,41.0,34.0,9.0,5.0,0.0,2.0,2.0,4.0,,,,90.0,51.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,2.0,,3.0,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,Llaneros FC,away,,,
Jhildrey Lasso,Jhildrey Lasso,,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,24.0,18.0,5.0,2.0,0.0,,,1.0,,,,90.0,44.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,2.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,,,,,1.0,,,,Llaneros FC,away,,,
