name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,shotOffTarget,totalClearance,fouls,duelWon,outfielderBlock,totalTackle,wasFouled,aerialWon,dispossessed,keyPass,challengeLost,interceptionWon,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,penaltyWon,wonContest,goals,captain,team,teamType,fieldTranslations,ownGoals,savedShotsFromInsideTheBox,penaltyConceded,bigChanceCreated,hitWoodwork
Misael Martínez,,,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",77,True,6.0,4.0,2.0,1.0,0.0,,34.0,14.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,,,,4.0,,,2.0,2.0,,1.0,,,,2.0,,1.0,,,,,Alianza Valledupar FC,home,,,,,,
Jair Castillo,,,jair-castillo,J. Castillo,M,20,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",7,True,7.0,1.0,1.0,,0.0,,13.0,8.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Sergio Aponzá,,,sergio-aponza,S. Aponzá,M,11,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,11,True,1.0,1.0,,,0.0,,13.0,6.0,7.6,1.0,"{'original': 7.6, 'alternative': None}",,2.0,2.0,,,,,4.0,,2.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,Alianza Valledupar FC,home,,,,,,
Royscer Colpa,,,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",8,True,2.0,1.0,,,0.0,,13.0,2.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",6,True,,,,,0.0,,12.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Antonio Simancas,Antonio Simancas,,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Johan Parra,,,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800.0,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",15,False,37.0,27.0,16.0,6.0,0.0,6.0,90.0,48.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,1.0,3.0,,,
Andrés Román,,,andres-roman,A. Román,D,6,183.0,385,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200.0,"{'value': 1600000, 'currency': 'EUR'}",6,False,25.0,23.0,,,0.0,,77.0,29.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800.0,"{'value': 825000, 'currency': 'EUR'}",3,False,54.0,49.0,8.0,6.0,0.0,,90.0,59.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,,,,1.0,3.0,1.0,,1.0,2.0,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",16,False,77.0,66.0,15.0,12.0,0.0,,90.0,89.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",,1.0,4.0,,,3.0,2.0,6.0,2.0,,1.0,5.0,1.0,1.0,,1.0,,,,1.0,,,,,Atlético Nacional,away,,,,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200.0,"{'value': 1100000, 'currency': 'EUR'}",13,False,28.0,23.0,1.0,1.0,0.0,,77.0,46.0,6.2,15.0,"{'original': 6.2, 'alternative': None}",4.0,1.0,4.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,1.0,,,Atlético Nacional,away,,,,1.0,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3106,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}",18,False,27.0,23.0,2.0,2.0,1.0,,90.0,43.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",4.0,,2.0,4.0,,,,6.0,,,3.0,1.0,,3.0,,,,,1.0,,,2.0,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,,1.0,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,703,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400.0,"{'value': 1500000, 'currency': 'EUR'}",21,False,21.0,20.0,1.0,1.0,0.0,,37.0,24.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800.0,"{'value': 720000, 'currency': 'EUR'}",32,False,45.0,37.0,8.0,4.0,0.0,,56.0,50.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,Atlético Nacional,away,,,,,,1.0
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2280,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}",10,False,43.0,38.0,9.0,6.0,0.0,,90.0,57.0,7.0,11.0,"{'original': 7, 'alternative': None}",3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,1.0,4.0,,,1.0,1.0,1.0,,,,,True,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}",9,False,27.0,26.0,3.0,3.0,0.0,,90.0,47.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",,2.0,8.0,,2.0,,2.0,9.0,,1.0,5.0,3.0,4.0,,,,,1.0,1.0,,,,1.0,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400.0,"{'value': 1400000, 'currency': 'EUR'}",19,False,13.0,10.0,,,1.0,,90.0,21.0,8.0,5.0,"{'original': 8, 'alternative': None}",1.0,2.0,4.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,Atlético Nacional,away,,,,,,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400.0,"{'value': 1500000, 'currency': 'EUR'}",80,True,42.0,38.0,10.0,8.0,0.0,,53.0,47.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,2.0,4.0,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,Atlético Nacional,away,,,,,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",27,True,6.0,6.0,1.0,1.0,0.0,,34.0,14.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,2.0,,,3.0,,2.0,,1.0,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",20,True,7.0,5.0,4.0,2.0,0.0,,13.0,9.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,Atlético Nacional,away,,,,,,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",30,True,4.0,3.0,1.0,,0.0,,13.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
Luis Marquinez,Luis Marquines,,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800.0,"{'value': 655000, 'currency': 'EUR'}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,72,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
Elkin Rivero,,,elkin-rivero,E. Rivero,M,26,,71,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400.0,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,,,,
