name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,aerialLost,dispossessed,challengeLost,shotOffTarget,onTargetScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,savedShotsFromInsideTheBox,punches
Kevin Salazar,,,kevin-salazar,K. Salazar,M,11,170.0,30,852208,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823824000.0,"{'value': 160000, 'currency': 'EUR'}",26,True,19.0,16.0,,,0.0,1.0,1.0,,,,30.0,25.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,Fortaleza CEIF,home,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",80,True,20.0,11.0,1.0,,0.0,3.0,2.0,1.0,,,30.0,27.0,7.0,12.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,,,2.0,,,2.0,,,,,,,1.0,,,,Fortaleza CEIF,home,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,True,18.0,18.0,,,0.0,1.0,,,,,18.0,19.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,Fortaleza CEIF,home,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,206,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,True,5.0,5.0,,,0.0,,,,,,17.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,5.0,5.0,,,0.0,,,,,,8.0,9.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",2.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,Fortaleza CEIF,home,,
Nelson Suárez,Nelson Suárez,,nelson-suarez,N. Suárez,G,89,179.0,5,2038235,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1180396800.0,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,
Edilson Cabeza,Edilson Cabeza,,edilson-cabeza,E. Cabeza,D,3,178.0,7,1066553,{},EUR,1026086400.0,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,22.0,10.0,16.0,4.0,0.0,,,,,5.0,90.0,34.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,Envigado FC,away,2.0,2.0
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,29.0,18.0,12.0,5.0,0.0,8.0,2.0,1.0,,,90.0,59.0,7.5,18.0,"{'original': 7.5, 'alternative': None}",,,4.0,,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,Envigado FC,away,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,17.0,12.0,7.0,2.0,0.0,2.0,,,,,90.0,28.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,3.0,,5.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,Envigado FC,away,,
