name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,fouls,outfielderBlock,totalCross,interceptionWon,wasFouled,keyPass,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,goals,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceMissed,hitWoodwork,bigChanceCreated
Sergio Aponzá,,,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800,,11,True,4.0,3.0,,,0.0,,2.0,2.0,,,23.0,11.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",2.0,3.0,1.0,,,,2.0,,,3.0,,,,,,1.0,,,,,Alianza Valledupar FC,home,,,,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",19,True,13.0,9.0,2.0,1.0,0.0,1.0,1.0,,,,23.0,16.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,1.0,,,,,,,,,,,1.0,1.0,,,,,,,Alianza Valledupar FC,home,,,,,
Felipe Pardo,,,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200,"{'value': 210000, 'currency': 'EUR'}",17,True,2.0,,1.0,,0.0,,,,,,16.0,3.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Kevin Moreno,,,kevin-moreno,K. Moreno,D,3,187.0,13,940994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,964310400,"{'value': 260000, 'currency': 'EUR'}",3,True,4.0,3.0,,,0.0,1.0,1.0,3.0,,,13.0,7.0,6.1,1.0,"{'original': 6.1, 'alternative': None}",,2.0,,,,,,2.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Johan Parra,,,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800,,25,True,3.0,1.0,,,0.0,,,,,,12.0,3.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,2.0,,,,,,2.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Junior Jiménez,Junior Jiménez,,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Aldair Quintana,,,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",1,False,23.0,20.0,6.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,90.0,32.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,1.0,,,
Aldair Gutiérrez,,,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",19,False,34.0,31.0,5.0,5.0,0.0,,1.0,2.0,,,90.0,53.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,6.0,1.0,,1.0,,1.0,4.0,1.0,2.0,2.0,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Carlos Romaña,,,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",23,False,39.0,33.0,6.0,5.0,0.0,4.0,6.0,4.0,,,90.0,47.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",2.0,6.0,,,,1.0,1.0,3.0,,,,1.0,,1.0,,,,,1.0,,Atlético Bucaramanga,away,,,,,
