name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,challengeLost,onTargetScoringAttempt,dispossessed,interceptionWon,keyPass,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,savedShotsFromInsideTheBox
Luis Palacios,palacios-luis,L. Palacios,M,24,181,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,4.0,3.0,,,1.0,,,,,,27.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,Once Caldas,home,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,5.0,3.0,4.0,2.0,0.0,,1.0,,,,18.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan Diaz,juan-diaz,J. Diaz,M,6,180,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,8.0,8.0,2.0,2.0,0.0,,1.0,1.0,,,18.0,12.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,Once Caldas,home,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,11.0,11.0,1.0,1.0,0.0,,1.0,,,,10.0,15.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",2.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,Once Caldas,home,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,3.0,3.0,,,0.0,,,,,,10.0,4.0,7.4,,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,1.0,,,,Once Caldas,home,
Felipe Parra,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Joel Contreras,contreras-joel,J. Contreras,F,16,165,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Santiago Silva,silva-santiago,S. Silva,G,27,190,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,27,False,25.0,17.0,15.0,7.0,0.0,,,1.0,,4.0,90.0,34.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,1.0
Esneyder Mena,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,31.0,22.0,5.0,,0.0,3.0,9.0,4.0,,,90.0,59.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",5.0,1.0,2.0,7.0,2.0,1.0,1.0,,,4.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,América de Cali,away,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,False,42.0,42.0,5.0,5.0,0.0,,3.0,2.0,,,90.0,49.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,1.0,3.0,,,,,,,,,,,,True,América de Cali,away,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,6,False,22.0,14.0,3.0,,0.0,5.0,5.0,8.0,,,90.0,37.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,América de Cali,away,
Omar Bertel,omar-bertel,O. Bertel,D,31,175,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 565000, 'currency': 'EUR'}",,,,31,False,18.0,14.0,2.0,1.0,0.0,1.0,3.0,,,,90.0,38.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",4.0,,1.0,4.0,,,,,,2.0,,2.0,,,1.0,,,,,,,,América de Cali,away,
José Cavadia,cavadia,J. Cavadia,M,29,177,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,39.0,37.0,1.0,1.0,0.0,,1.0,,,,59.0,47.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,América de Cali,away,
Franco Leys,franco-leys,F. Leys,M,32,180,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,,,32,False,47.0,38.0,3.0,1.0,0.0,1.0,3.0,1.0,,,82.0,60.0,7.0,11.0,"{'original': 7, 'alternative': None}",,,,3.0,2.0,,2.0,,,1.0,1.0,,1.0,1.0,,3.0,2.0,,,,,,América de Cali,away,
Joider Micolta,joider-micolta,J. Micolta,M,30,173,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",Joider Micolta,,,30,False,8.0,4.0,2.0,,0.0,,3.0,1.0,,,45.0,16.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,4.0,,,,,,1.0,2.0,1.0,1.0,,2.0,,,,,,,,América de Cali,away,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,33.0,31.0,1.0,,0.0,,2.0,,,,90.0,39.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,América de Cali,away,
Luis Gómez,luis-gomez,L. Gómez,F,16,173,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,39.0,36.0,1.0,1.0,0.0,,1.0,,,,90.0,47.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,2.0,4.0,1.0,1.0,2.0,,,,,1.0,1.0,4.0,,,2.0,,,1.0,,,América de Cali,away,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",Jan Franc Lucumi,,,17,False,16.0,11.0,1.0,,0.0,4.0,6.0,1.0,,,59.0,29.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,3.0,4.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,América de Cali,away,
Luis Ramos,luis-ramos,L. Ramos,F,9,175,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,8.0,7.0,,,0.0,,1.0,1.0,,,45.0,13.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,6.0,8.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,América de Cali,away,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,,,7,True,13.0,12.0,1.0,1.0,0.0,,,,,,31.0,18.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,América de Cali,away,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,True,27.0,24.0,5.0,3.0,0.0,1.0,4.0,,,,31.0,41.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",7.0,1.0,,2.0,3.0,2.0,,1.0,,,1.0,1.0,,,,1.0,2.0,,,,,,América de Cali,away,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,True,3.0,3.0,,,0.0,,,,,,8.0,5.0,6.2,,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Jorge Soto,jorge-soto,J. Soto,G,12,187,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182,143,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Luis Alejandro Paz,luis-alejandro-paz,L. A. Paz,M,19,175,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000,"{'value': 47000, 'currency': 'EUR'}",,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
