name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,keyPass,onTargetScoringAttempt,interceptionWon,accurateCross,dispossessed,fouls,blockedScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,True,26.0,24.0,1.0,,1.0,1.0,,,,60.0,49.0,8.3,10.0,"{'original': 8.3, 'alternative': None}",6.0,,,5.0,3.0,2.0,5.0,2.0,2.0,,1.0,,2.0,2.0,,2.0,,,1.0,1.0,,,Junior Barranquilla,home,
Andres Colorado,andres-colorado,Andres Colorado,M,25,193,208,904350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912470400,"{'value': 570000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. كولورادو', 'hi': 'एन्ड्रेस कोलोराडो', 'bn': 'আন্দ্রেস কলোরাডো'}}",25,True,11.0,11.0,,,0.0,1.0,,,,30.0,16.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,,Junior Barranquilla,home,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,15.0,15.0,,,0.0,,,,,29.0,16.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,Junior Barranquilla,home,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,1.0,1.0,,,0.0,,,,,29.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,2.0,,3.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,Junior Barranquilla,home,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,True,3.0,1.0,,,0.0,,,,,12.0,4.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Jaime Acosta,acosta-jaime,J. Acosta,G,12,191,24,1160556,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006732800,"{'value': 49000, 'currency': 'EUR'}",Jaime Acosta,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Jesús Díaz,jesus-diaz,J. Díaz,M,90,173,129,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800,"{'value': 110000, 'currency': 'EUR'}",Jesús Díaz,,,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
James Aguirre,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,17.0,7.0,13.0,3.0,0.0,,5.0,5.0,,90.0,24.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,1.0
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,29.0,24.0,5.0,2.0,0.0,,,,,90.0,49.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,,,Once Caldas,away,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,False,27.0,20.0,5.0,,0.0,5.0,,,,90.0,35.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,2.0,2.0,2.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,Once Caldas,away,
