name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialLost,challengeLost,outfielderBlock,interceptionWon,shotOffTarget,onTargetScoringAttempt,dispossessed,blockedScoringAttempt,totalContest,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,goals
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,True,10.0,8.0,,,0.0,,30.0,14.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,Once Caldas,home,,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,12.0,7.0,2.0,1.0,0.0,,20.0,19.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,3.0,1.0,3.0,,,,1.0,1.0,,,,,,1.0,,,,,,,Once Caldas,home,,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,,Zuleta,28,True,13.0,11.0,3.0,2.0,0.0,,20.0,16.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,5.0,2.0,,1.0,1.0,3.0,,,1.0,,,,,1.0,,,,,,Once Caldas,home,,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,4.0,3.0,,,0.0,,15.0,9.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,3.0,,3.0,1.0,,,,,,,1.0,,,,,,,,,,Once Caldas,home,,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,1.0,,,,0.0,,14.0,2.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,Once Caldas,home,,,
Felipe Parra,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,
Juan García,juan-garcia,J. García,M,2,185,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400,"{'value': 155000, 'currency': 'EUR'}",,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,1,False,32.0,15.0,22.0,5.0,0.0,9.0,90.0,49.0,8.7,17.0,"{'original': 8.7, 'alternative': None}",,,,,2.0,1.0,,2.0,,,,,,,,,,1.0,,,,,Independiente Santa Fe,away,1.0,5.0,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,17,False,10.0,4.0,1.0,,0.0,,90.0,22.0,7.0,9.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,1.0,4.0,,,,,,,1.0,1.0,,,,,,,,,Independiente Santa Fe,away,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,21.0,14.0,8.0,4.0,0.0,,90.0,32.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,2.0,2.0,7.0,,,,,2.0,,1.0,2.0,,,,,,,,,Independiente Santa Fe,away,,,
