name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,shotOffTarget,totalClearance,fouls,aerialWon,duelWon,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,dispossessed,totalContest,wonContest,wasFouled,totalOffside,keyPass,challengeLost,blockedScoringAttempt,hitWoodwork,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,saves,punches,outfielderBlock,goals
Brandon Churi,Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,,19,True,8.0,8.0,,,0.0,,24.0,13.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",3.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,Llaneros FC,home,,,,,,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,True,6.0,5.0,,,0.0,,16.0,9.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,,Llaneros FC,home,,,,,,
Maicol Medina,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,3.0,2.0,,,0.0,,15.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,1.0,,,Llaneros FC,home,,,,,,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,13.0,10.0,2.0,1.0,0.0,,15.0,20.0,7.0,6.0,"{'original': 7, 'alternative': None}",2.0,,3.0,1.0,,1.0,3.0,3.0,,1.0,,1.0,,1.0,,,,,,,1.0,,Llaneros FC,home,,,,,,
Harold Reina,,harold-reina,H. Reina,F,17,177.0,20,312306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,648259200.0,"{'value': 52000, 'currency': 'EUR'}",,17,True,3.0,2.0,1.0,,0.0,,15.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Roameth Romaña,Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Jaison Mina,Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000.0,"{'value': 145000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Johan Wallens,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,1,False,28.0,24.0,10.0,6.0,0.0,2.0,90.0,43.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,,,,3.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,2.0,2.0,1.0,,
Efraín Navarro,,efrain-navarro,E. Navarro,D,2,177.0,12,925250,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,934416000.0,"{'value': 365000, 'currency': 'EUR'}",,2,False,17.0,13.0,5.0,2.0,0.0,,70.0,36.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,2.0,,4.0,1.0,,,,,,1.0,,,,,,,1.0,,,,Alianza Valledupar FC,away,,,,,,
John García,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,18,False,47.0,40.0,6.0,1.0,0.0,,90.0,56.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,,6.0,,2.0,3.0,,,,1.0,,,,1.0,,,,,,,Alianza Valledupar FC,away,,,,,,
