name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,outfielderBlock,totalTackle,challengeLost,totalContest,onTargetScoringAttempt,totalClearance,fouls,keyPass,aerialLost,shotOffTarget,interceptionWon,wonContest,blockedScoringAttempt,wasFouled,bigChanceCreated,goals,totalOffside,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,True,15.0,10.0,7.0,3.0,0.0,1.0,3.0,,,,37.0,20.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,Fortaleza CEIF,home,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,16.0,12.0,1.0,1.0,0.0,,,,,,19.0,17.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Carlos Gonzalez,Carlos Gonzalez,,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,29,True,7.0,6.0,,,0.0,,,,,,19.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,7.0,4.0,,,0.0,,,,,,8.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,1.0,,Fortaleza CEIF,home,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,True,5.0,4.0,,,0.0,,,,,,8.0,5.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Enmanuel Arrechea,Enmanuel Arrechea,,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",22,False,34.0,21.0,23.0,11.0,0.0,,,,2.0,4.0,90.0,44.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,2.0,,,,,,,,,,,,,Deportes Tolima,away,,1.0,1.0
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",26,False,18.0,9.0,6.0,1.0,0.0,,4.0,,,,90.0,40.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,3.0,,,3.0,1.0,1.0,,2.0,1.0,,,,2.0,,,1.0,,,,,Deportes Tolima,away,,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",3,False,33.0,28.0,5.0,2.0,0.0,2.0,4.0,,,,90.0,47.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,,1.0,,,,7.0,,,,1.0,2.0,,,1.0,,,,True,Deportes Tolima,away,,,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,4,False,26.0,18.0,6.0,2.0,0.0,,,,,,90.0,32.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,1.0,,,,1.0,2.0,,,,,,,,Deportes Tolima,away,,,
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400.0,"{'value': 1200000, 'currency': 'EUR'}",20,False,14.0,8.0,1.0,,0.0,,2.0,,,,45.0,24.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,3.0,,,1.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,,,,,,Deportes Tolima,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",15,False,25.0,19.0,4.0,4.0,0.0,1.0,3.0,,,,75.0,28.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,Deportes Tolima,away,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",80,False,40.0,32.0,6.0,4.0,0.0,1.0,4.0,,,,90.0,59.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",5.0,4.0,3.0,,,2.0,1.0,,,2.0,1.0,3.0,1.0,,4.0,,,1.0,,,,,Deportes Tolima,away,,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",7,False,7.0,5.0,,,0.0,2.0,5.0,,,,45.0,18.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",2.0,,3.0,1.0,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,Deportes Tolima,away,,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",25,False,12.0,9.0,,,0.0,,,,,,45.0,18.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",,,5.0,,,,,1.0,,,2.0,1.0,2.0,,,,,,,,,,Deportes Tolima,away,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",23,False,28.0,24.0,1.0,,1.0,1.0,7.0,,,,90.0,46.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",5.0,3.0,7.0,1.0,,3.0,,4.0,,2.0,,2.0,3.0,,,1.0,1.0,2.0,,,1.0,,Deportes Tolima,away,,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800.0,"{'value': 825000, 'currency': 'EUR'}",11,False,22.0,17.0,1.0,,0.0,,2.0,,,,90.0,33.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,6.0,1.0,,,,1.0,1.0,2.0,1.0,3.0,3.0,1.0,,,1.0,2.0,,,,,Deportes Tolima,away,,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}",33,True,17.0,15.0,1.0,1.0,0.0,1.0,3.0,,,,45.0,34.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",4.0,1.0,,,,1.0,,,1.0,3.0,,2.0,,,,,,1.0,,,,,Deportes Tolima,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",,
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600.0,"{'value': 410000, 'currency': 'EUR'}",8,True,15.0,12.0,3.0,2.0,0.0,1.0,3.0,,,,45.0,24.0,7.0,6.0,"{'original': 7, 'alternative': None}",3.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,2.0,,,,,Deportes Tolima,away,,,
Gustavo Ramírez,,,gustavo-ramirez,G. Ramírez,F,27,181.0,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800.0,"{'value': 145000, 'currency': 'EUR'}",27,True,13.0,12.0,1.0,1.0,0.0,,1.0,,,,45.0,19.0,7.8,1.0,"{'original': 7.8, 'alternative': None}",,,2.0,,,,,,4.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,Deportes Tolima,away,,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",6,True,3.0,2.0,,,0.0,,1.0,,,,15.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,Deportes Tolima,away,,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
