name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,interceptionWon,wasFouled,fouls,keyPass,aerialLost,totalTackle,dispossessed,hitWoodwork,shotOffTarget,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim,goals,bigChanceMissed,bigChanceCreated
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175,508,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",Jordan Andres,Barrera Herrera,,7,True,9.0,7.0,,,0.0,,,,,,45.0,18.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,7.0,,,,,,3.0,1.0,1.0,,3.0,,1.0,1.0,,2.0,,,Junior Barranquilla,home,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,9.0,8.0,2.0,2.0,0.0,,2.0,,,,48.0,16.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,Junior Barranquilla,home,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169,315,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,8.0,8.0,,,0.0,,,,,,27.0,9.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170,275,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,21.0,18.0,2.0,,0.0,,,,,,17.0,28.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,Junior Barranquilla,home,,,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,8.0,8.0,1.0,1.0,0.0,,1.0,,,,13.0,12.0,6.8,,"{'original': 6.8, 'alternative': None}",,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,Junior Barranquilla,home,,,,
Jaime Acosta,acosta-jaime,J. Acosta,G,12,191,24,1160556,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006732800,"{'value': 49000, 'currency': 'EUR'}",Jaime Acosta,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187,277,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,16.0,9.0,12.0,6.0,0.0,1.0,1.0,3.0,3.0,3.0,90.0,24.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,2.0,,,
Jhon Palacios,jhon-palacios,J. Palacios,D,3,188,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 360000, 'currency': 'EUR'}",Jhon Palacios,,,3,False,19.0,15.0,4.0,3.0,0.0,4.0,6.0,8.0,,,90.0,35.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,4.0,,,,2.0,,2.0,,2.0,2.0,,,,,,,,,Independiente Medellín,away,,,,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,,,24,False,24.0,14.0,11.0,2.0,0.0,1.0,1.0,11.0,,,90.0,39.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,4.0,1.0,,,,,1.0,,2.0,,,,,,3.0,,,,Independiente Medellín,away,,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,34.0,26.0,12.0,5.0,0.0,2.0,4.0,8.0,,,90.0,50.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,,,2.0,,,,,2.0,,,1.0,,,,,,Independiente Medellín,away,,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,18.0,17.0,,,0.0,,2.0,1.0,,,90.0,33.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,Independiente Medellín,away,,,,
