name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,fouls,wonContest,wasFouled,blockedScoringAttempt,goals,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside,bigChanceMissed
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,True,16.0,14.0,1.0,,0.0,,,35.0,21.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,2.0,,,,,,,,1.0,,,,2.0,,2.0,,,,,Deportivo Cali,home,,,
Jaider Moreno,,,moreno-jaider,J. Moreno,F,31,180.0,41,1616362,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,"{'value': 165000, 'currency': 'EUR'}",,31,True,9.0,7.0,1.0,,0.0,,,35.0,16.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,Deportivo Cali,home,,,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200.0,"{'value': 46000, 'currency': 'EUR'}",,13,True,6.0,5.0,1.0,,0.0,,,8.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,Deportivo Cali,home,,,
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800.0,,,46,True,2.0,1.0,,,0.0,,,13.0,5.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,Deportivo Cali,home,,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,True,6.0,5.0,1.0,1.0,0.0,,,12.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,,
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",,22,False,31.0,18.0,19.0,6.0,0.0,2.0,3.0,90.0,38.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,Deportes Tolima,away,1.0,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,26,False,45.0,38.0,8.0,3.0,0.0,,,90.0,65.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,3.0,3.0,,,,1.0,2.0,1.0,2.0,,3.0,1.0,,,,1.0,1.0,,,,Deportes Tolima,away,,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,17,False,31.0,27.0,4.0,1.0,0.0,,,90.0,44.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,1.0,1.0,5.0,,,,,4.0,,3.0,,1.0,1.0,2.0,,,1.0,,,,,Deportes Tolima,away,,,
