name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,onTargetScoringAttempt,accurateCross,challengeLost,dispossessed,blockedScoringAttempt,totalOffside,bigChanceMissed,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,43.0,33.0,2.0,,0.0,,,75.0,60.0,6.8,20.0,"{'original': 6.8, 'alternative': None}",4.0,,,3.0,,2.0,1.0,,1.0,,2.0,,,,3.0,,,1.0,,1.0,1.0,,,,,Millonarios,home,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,22.0,19.0,4.0,2.0,0.0,,,45.0,28.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,3.0,2.0,,,,1.0,,1.0,2.0,,,,,,,3.0,,,,,,,Millonarios,home,,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,140,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,14.0,10.0,2.0,1.0,1.0,,,45.0,24.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",3.0,,,1.0,3.0,2.0,1.0,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,Millonarios,home,,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,True,12.0,8.0,1.0,,0.0,,,45.0,21.0,7.5,7.0,"{'original': 7.5, 'alternative': None}",,1.0,,2.0,2.0,,1.0,,,,,,2.0,,,,2.0,,1.0,,1.0,,,1.0,,Millonarios,home,,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,250,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,6.0,4.0,1.0,,0.0,,,15.0,10.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,Millonarios,home,,,
Diego Novoa,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,38.0,14.0,31.0,7.0,0.0,,4.0,90.0,52.0,6.4,26.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,,,,Once Caldas,away,1.0,2.0,2.0
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",,Juan David Cuesta,,22,False,17.0,12.0,4.0,2.0,0.0,,,90.0,31.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,,1.0,2.0,4.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,Once Caldas,away,,,
