name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,totalContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,outfielderBlock,keyPass,aerialWon,duelWon,dispossessed,wasFouled,fouls,totalCross,accurateCross,challengeLost,wonContest,totalTackle,totalOffside,aerialLost,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,20.0,16.0,3.0,3.0,0.0,,67.0,33.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,2.0,,Atlético Nacional,home,,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",Kilian Toscano,,,5,True,5.0,3.0,1.0,1.0,0.0,,34.0,10.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",3.0,,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,Atlético Nacional,home,,,
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,True,12.0,8.0,2.0,,0.0,,24.0,16.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,Atlético Nacional,home,,,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,True,6.0,2.0,,,0.0,,23.0,11.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,,,,,,,1.0,,1.0,2.0,,1.0,2.0,,,1.0,,1.0,,,,,Atlético Nacional,home,,,
Kevin Parra,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",Kevin Parra,,,30,True,4.0,4.0,,,0.0,,1.0,5.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,Atlético Nacional,home,,,
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",Luis Marquines,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Royer Caicedo,royer-caicedo,R. Caicedo,D,33,193.0,69,1994822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1146787200,,Royer Caicedo,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Billy Arce,billy-arce,B. Arce,M,11,177.0,507,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189.0,105,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,22.0,17.0,11.0,6.0,0.0,1.0,90.0,29.0,6.0,6.0,"{'original': 6, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,,,Deportes Tolima,away,1.0,1.0,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,,,26,False,42.0,36.0,5.0,3.0,0.0,,89.0,59.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",7.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,2.0,,1.0,,,1.0,2.0,,,,Deportes Tolima,away,,,1.0
Fabián Mosquera,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,,,19,False,38.0,33.0,5.0,2.0,0.0,,90.0,46.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",1.0,,,,,4.0,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,Deportes Tolima,away,,,
Jhon Quiñónes,jhon-quinones,J. Quiñónes,D,4,188.0,14,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,Jhon Quiñónes,,,4,False,31.0,30.0,2.0,2.0,0.0,,90.0,42.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",1.0,,,,,7.0,,,,,3.0,,,,,,1.0,,3.0,,,,,,Deportes Tolima,away,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}",Samuel Velásquez,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,35.0,28.0,6.0,3.0,0.0,,90.0,41.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",1.0,,,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,Deportes Tolima,away,,,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,56.0,53.0,10.0,9.0,2.0,,90.0,72.0,8.3,7.0,"{'original': 8.3, 'alternative': None}",2.0,,,,,2.0,2.0,,3.0,,4.0,1.0,3.0,,2.0,1.0,1.0,,1.0,,,2.0,1.0,,Deportes Tolima,away,,,
