name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,outfielderBlock,totalTackle,keyPass,aerialLost,interceptionWon,wasFouled,fouls,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,blockedScoringAttempt,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,True,24.0,17.0,7.0,3.0,0.0,1.0,,,,45.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,,,1.0,1.0,,,1.0,,,,3.0,,,,,1.0,,,Rionegro Águilas Doradas,home,,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,2.0,,2.0,,0.0,,3.0,,,14.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,True,2.0,2.0,1.0,1.0,0.0,1.0,,,,13.0,5.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,1.0,,,Rionegro Águilas Doradas,home,,
Fabián Suárez,fabian-suarez,F. Suárez,F,15,,4,1388934,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1089590400,,,Fabián Suárez,,15,True,3.0,3.0,,,0.0,,,,,9.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,Rionegro Águilas Doradas,home,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",,Luis Marquines,,25,False,25.0,19.0,8.0,2.0,0.0,1.0,1.0,2.0,4.0,90.0,36.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,Atlético Nacional,away,,
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,False,23.0,18.0,3.0,2.0,0.0,3.0,3.0,,,71.0,36.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,3.0,,,1.0,,,,3.0,,,,2.0,3.0,1.0,,,,,,Atlético Nacional,away,,
Simon Garcia,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600,"{'value': 235000, 'currency': 'EUR'}",,Simon Garcia,,28,False,49.0,44.0,13.0,10.0,0.0,,3.0,,,90.0,58.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,3.0,,,1.0,,2.0,,,,,,2.0,,1.0,,,,,,Atlético Nacional,away,,
Royer Caicedo,royer-caicedo,R. Caicedo,D,33,193.0,70,1994822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1146787200,,,Royer Caicedo,,33,False,50.0,42.0,7.0,3.0,0.0,2.0,3.0,,,90.0,61.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",1.0,,3.0,,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,,,Atlético Nacional,away,,
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",Andrés Salazar,,17,False,38.0,32.0,4.0,2.0,0.0,5.0,,,,71.0,64.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",7.0,2.0,4.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,2.0,2.0,1.0,1.0,,,,,,Atlético Nacional,away,,
Elkin Rivero,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,,,26,False,66.0,56.0,11.0,7.0,0.0,2.0,,,,90.0,74.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,,2.0,1.0,,,,1.0,,3.0,1.0,,1.0,,1.0,2.0,,,,,,Atlético Nacional,away,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,False,27.0,23.0,2.0,,0.0,1.0,2.0,,,57.0,32.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,,,1.0,1.0,,1.0,,2.0,,,,,1.0,,,Atlético Nacional,away,,
Juan Torres,juan-torres,J. Torres,M,31,170.0,133,1185984,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1087862400,"{'value': 210000, 'currency': 'EUR'}",,Juan Torres,,31,False,19.0,16.0,4.0,3.0,0.0,4.0,,,,57.0,31.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,1.0,1.0,,,,,2.0,1.0,,,2.0,,,2.0,,,,,,Atlético Nacional,away,,
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,False,24.0,17.0,2.0,1.0,0.0,3.0,,,,90.0,45.0,6.8,16.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,3.0,1.0,1.0,2.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,2.0,,,Atlético Nacional,away,,
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,False,39.0,31.0,4.0,3.0,1.0,6.0,,,,90.0,62.0,8.0,19.0,"{'original': 8, 'alternative': None}",9.0,1.0,3.0,,1.0,3.0,1.0,,1.0,5.0,,1.0,4.0,,,3.0,,,1.0,,,Atlético Nacional,away,1.0,
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,False,31.0,25.0,3.0,3.0,0.0,4.0,,,,90.0,47.0,8.3,10.0,"{'original': 8.3, 'alternative': None}",1.0,,6.0,1.0,,2.0,,,1.0,4.0,2.0,,3.0,1.0,,,5.0,1.0,1.0,,True,Atlético Nacional,away,,1.0
Matheus Uribe,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",,,8,True,23.0,17.0,3.0,1.0,0.0,1.0,,,,33.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,Atlético Nacional,away,,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,True,2.0,2.0,,,0.0,1.0,,,,33.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,3.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,Atlético Nacional,away,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,True,11.0,9.0,1.0,,0.0,,2.0,,,19.0,18.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,Atlético Nacional,away,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,18,True,10.0,7.0,2.0,2.0,0.0,1.0,,,,19.0,17.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,Atlético Nacional,away,,
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
