name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,keyPass,aerialWon,outfielderBlock,fouls,accurateCross,shotOffTarget,hitWoodwork,bigChanceCreated,goals,totalOffside,captain,team,teamType,goodHighClaim,challengeLost
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,20.0,17.0,2.0,1.0,0.0,2.0,,1.0,,,60.0,29.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,,3.0,2.0,,,3.0,,,1.0,,,,1.0,,,,,1.0,,,Atlético Nacional,home,,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,80,True,12.0,12.0,,,0.0,,1.0,,,,30.0,19.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,19,True,2.0,2.0,,,0.0,2.0,1.0,2.0,,,30.0,8.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,Atlético Nacional,home,,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",8,True,8.0,6.0,,,0.0,,,,,,10.0,11.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,Atlético Nacional,home,,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",,30,True,,,,,0.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,Atlético Nacional,home,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Joan Castro,,,joan-castro,J. Castro,D,20,176,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,12,False,19.0,13.0,11.0,5.0,0.0,,,,3.0,6.0,90.0,29.0,7.6,6.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,away,1.0,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,17,False,14.0,14.0,,,0.0,2.0,1.0,2.0,,,68.0,22.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",2.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,América de Cali,away,,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,False,42.0,31.0,8.0,1.0,0.0,2.0,4.0,,,,90.0,67.0,7.0,19.0,"{'original': 7, 'alternative': None}",8.0,,1.0,,,,,,,1.0,3.0,1.0,,1.0,2.0,,,,,1.0,,América de Cali,away,,
Jean Carlos Pestaña,,,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,24,False,46.0,43.0,3.0,1.0,0.0,,3.0,,,,90.0,50.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,3.0,,,,,,,,,,,3.0,,,,,,,,América de Cali,away,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,23,False,41.0,39.0,6.0,6.0,0.0,4.0,5.0,,,,90.0,53.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,2.0,,1.0,,,,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,,,América de Cali,away,,
Marcos Mina,,,marcos-mina,M. Mina,D,14,163,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,14,False,34.0,25.0,1.0,1.0,0.0,1.0,2.0,1.0,,,90.0,49.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",4.0,,,,,,,,1.0,,,,,,,1.0,,,,,,América de Cali,away,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,21,False,9.0,8.0,1.0,1.0,0.0,1.0,,1.0,,,45.0,15.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,3.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,América de Cali,away,,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,15,False,47.0,44.0,6.0,3.0,0.0,3.0,2.0,3.0,,,90.0,58.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,4.0,1.0,,,,,1.0,,,,,2.0,,,,,,,True,América de Cali,away,,1.0
Éder Balanta,,,eder-balanta,É. Balanta,M,3,181,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",3,False,39.0,33.0,4.0,1.0,0.0,4.0,,1.0,,,80.0,46.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,2.0,5.0,,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,América de Cali,away,,2.0
Joider Micolta,Joider Micolta,,joider-micolta,J. Micolta,M,30,173,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",,30,False,6.0,5.0,,,0.0,3.0,,1.0,,,45.0,16.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,5.0,2.0,1.0,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,América de Cali,away,,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,22,False,6.0,4.0,,,0.0,,,,,,45.0,10.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,2.0,,,,,,,,,,,1.0,,América de Cali,away,,
Juan Fernando Quintero,,,juan-quintero,J. F. Quintero,M,8,168,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,True,28.0,27.0,5.0,5.0,0.0,,,,,,45.0,36.0,7.0,8.0,"{'original': 7, 'alternative': None}",5.0,,,,,,1.0,,,,1.0,,,,,,,,,,,América de Cali,away,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,11,True,21.0,18.0,4.0,3.0,0.0,1.0,,,,,45.0,28.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,América de Cali,away,,
Luis Ramos,,,luis-ramos,L. Ramos,F,9,175,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,9,True,10.0,8.0,,,0.0,1.0,1.0,,,,45.0,16.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,América de Cali,away,,
Esneyder Mena,,,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,26,True,5.0,3.0,,,0.0,1.0,,,,,22.0,8.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,,,,,,,,1.0,,,,,,,,,,,,América de Cali,away,,
José Cavadia,,,cavadia,J. Cavadia,M,29,177,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,29,True,15.0,13.0,,,0.0,1.0,,1.0,,,10.0,19.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,,,,América de Cali,away,,
Santiago Silva,,,silva-santiago,S. Silva,G,27,190,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,178,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,
