,player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
10,"{'name': 'Bukayo Saka', 'firstName': '', 'lastName': '', 'slug': 'bukayo-saka', 'shortName': 'B. Saka', 'position': 'F', 'jerseyNumber': '7', 'userCount': 203951, 'id': 934235, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}}",False,block,assisted,"{'x': 4.5, 'y': 47.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 19}",0.28886145353317,2877868,56,,3300,"{'start': {'x': 47.2, 'y': 4.5}, 'block': {'x': 47.5, 'y': 3.2}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 81}}",35,2100,600,shot,"{'x': 3.2, 'y': 47.5, 'z': 0}",,
11,"{'name': 'Declan Rice', 'slug': 'declan-rice', 'shortName': 'D. Rice', 'position': 'M', 'jerseyNumber': '41', 'userCount': 57196, 'id': 856714, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}}",False,block,assisted,"{'x': 17.3, 'y': 51.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",0.10427866876125,2877862,55,,3295,"{'start': {'x': 51.1, 'y': 17.3}, 'block': {'x': 50.4, 'y': 8.6}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",36,2105,595,shot,"{'x': 8.6, 'y': 50.4, 'z': 0}",,
12,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,block,assisted,"{'x': 14.8, 'y': 33.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 19}",0.024923797696829,2877642,45,3.0,2846,"{'start': {'x': 33.8, 'y': 14.8}, 'block': {'x': 35.2, 'y': 13.3}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 81}}",1,2554,146,shot,"{'x': 13.3, 'y': 35.2, 'z': 0}",,
13,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,block,assisted,"{'x': 20.9, 'y': 23.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 19}",0.015514036640525,2877486,34,,2020,"{'start': {'x': 23.5, 'y': 20.9}, 'block': {'x': 27.6, 'y': 17.9}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",12,680,2020,shot,"{'x': 17.9, 'y': 27.6, 'z': 0}",,
14,"{'name': 'Scott McTominay', 'slug': 'scott-mctominay', 'shortName': 'S. McTominay', 'position': 'M', 'jerseyNumber': '8', 'userCount': 23066, 'id': 879346, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}}",True,miss,assisted,"{'x': 22.3, 'y': 40.3, 'z': 0}",left-foot,right,"{'x': 0, 'y': 39.5, 'z': 8.3}",0.035637672990561,2877471,32,,1918,"{'start': {'x': 40.3, 'y': 22.3}, 'end': {'x': 60.5, 'y': 0}, 'goal': {'x': 60.5, 'y': 91.7}}",14,782,1918,shot,,,
15,"{'name': 'Casemiro', 'firstName': '', 'lastName': '', 'slug': 'casemiro', 'shortName': 'Casemiro', 'position': 'M', 'jerseyNumber': '18', 'userCount': 113111, 'id': 122951, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}}",True,block,assisted,"{'x': 24.7, 'y': 51.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.5, 'z': 19}",0.028265548869967,2877464,31,,1841,"{'start': {'x': 51.6, 'y': 24.7}, 'block': {'x': 51.1, 'y': 13.6}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 81}}",15,859,1841,shot,"{'x': 13.6, 'y': 51.1, 'z': 0}",,
16,"{'name': 'Ben White', 'slug': 'benjamin-white', 'shortName': 'B. White', 'position': 'D', 'jerseyNumber': '4', 'userCount': 11711, 'id': 846036, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}}",False,miss,assisted,"{'x': 2.9, 'y': 66.2, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 61.3, 'z': 40.3}",0.033960171043873,2877454,28,,1678,"{'start': {'x': 66.2, 'y': 2.9}, 'end': {'x': 38.7, 'y': 0}, 'goal': {'x': 38.7, 'y': 59.7}}",18,1022,1678,shot,,,
17,"{'name': 'Takehiro Tomiyasu', 'firstName': '', 'lastName': '', 'slug': 'tomiyasu-takehiro', 'shortName': 'T. Tomiyasu', 'position': 'D', 'jerseyNumber': '18', 'userCount': 13051, 'id': 804434, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}}",False,block,assisted,"{'x': 22.8, 'y': 39.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47, 'z': 19}",0.02272604778409,2877453,28,,1659,"{'start': {'x': 39.3, 'y': 22.8}, 'block': {'x': 45.8, 'y': 11.9}, 'end': {'x': 53, 'y': 0}, 'goal': {'x': 53, 'y': 81}}",18,1041,1659,shot,"{'x': 11.9, 'y': 45.8, 'z': 0}",,
18,"{'name': 'Leandro Trossard', 'firstName': '', 'lastName': '', 'slug': 'leandro-trossard', 'shortName': 'L. Trossard', 'position': 'F', 'jerseyNumber': '19', 'userCount': 32492, 'id': 135666, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}}",False,goal,assisted,"{'x': 2.6, 'y': 50.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 3.2}",0.50449866056442,2877425,21,,1200,"{'start': {'x': 50.9, 'y': 2.6}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 96.8}}",25,1500,1200,shot,,0.9758,regular
19,"{'name': 'Diogo Dalot', 'firstName': '', 'lastName': '', 'slug': 'diogo-dalot', 'shortName': 'D. Dalot', 'position': 'D', 'jerseyNumber': '20', 'userCount': 22645, 'id': 843200, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}}",True,miss,assisted,"{'x': 21.3, 'y': 62.4, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 58, 'z': 73.6}",0.022836439311504,2877359,16,,904,"{'start': {'x': 62.4, 'y': 21.3}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 26.4}}",30,1796,904,shot,,,
20,"{'name': 'Gabriel Magalhães', 'slug': 'gabriel-magalhaes', 'shortName': 'Gabriel', 'position': 'D', 'jerseyNumber': '6', 'userCount': 32532, 'id': 869792, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}}",False,miss,corner,"{'x': 5.2, 'y': 52.4, 'z': 0}",head,close-high,"{'x': 0, 'y': 52.6, 'z': 55.6}",0.16704002022743,2877313,9,,527,"{'start': {'x': 52.4, 'y': 5.2}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 44.4}}",37,2173,527,shot,,,
21,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,block,assisted,"{'x': 14.5, 'y': 56.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}",0.065104760229588,2877298,7,,385,"{'start': {'x': 56.2, 'y': 14.5}, 'block': {'x': 55.4, 'y': 12.5}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",39,2315,385,shot,"{'x': 12.5, 'y': 55.4, 'z': 0}",,
22,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,block,regular,"{'x': 14.8, 'y': 40.1, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 19}",0.04308245331049,2877300,7,,378,"{'start': {'x': 40.1, 'y': 14.8}, 'block': {'x': 41, 'y': 13.2}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 81}}",39,2322,378,shot,"{'x': 13.2, 'y': 41, 'z': 0}",,
23,"{'name': 'Rasmus Højlund', 'slug': 'rasmus-hojlund', 'shortName': 'R. Højlund', 'position': 'F', 'jerseyNumber': '9', 'userCount': 70483, 'id': 1086417, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}}",True,miss,assisted,"{'x': 17.8, 'y': 45.4, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 56.1, 'z': 61.1}",0.086005479097366,2877286,5,,244,"{'start': {'x': 45.4, 'y': 17.8}, 'end': {'x': 43.9, 'y': 0}, 'goal': {'x': 43.9, 'y': 38.9}}",41,2456,244,shot,,,
24,"{'name': 'Bukayo Saka', 'firstName': '', 'lastName': '', 'slug': 'bukayo-saka', 'shortName': 'B. Saka', 'position': 'F', 'jerseyNumber': '7', 'userCount': 203951, 'id': 934235, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}}",False,save,regular,"{'x': 8.3, 'y': 65.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 8.2}",0.057414937764406,2877277,4,,189,"{'start': {'x': 65.2, 'y': 8.3}, 'block': {'x': 53.2, 'y': 2}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 91.8}}",42,2511,189,shot,"{'x': 2, 'y': 53.2, 'z': 0}",0.0311,
